ym,bullish,neutral,bearish,spread,n_weeks
198707,0.31,0.49,0.2,0.10999999999999999,2
198708,0.5475000000000001,0.24,0.2125,0.3350000000000001,4
198709,0.5125,0.215,0.27249999999999996,0.24,4
198710,0.42000000000000004,0.296,0.284,0.13600000000000007,5
198711,0.36,0.4,0.24,0.12,4
198712,0.268,0.438,0.294,-0.025999999999999968,5
198801,0.2875,0.4475,0.265,0.022499999999999964,4
198802,0.3025,0.4975,0.2,0.10249999999999998,4
198803,0.4175,0.4175,0.165,0.25249999999999995,4
198804,0.272,0.502,0.22599999999999998,0.04600000000000004,5
198805,0.27,0.505,0.225,0.04500000000000001,4
198806,0.29000000000000004,0.5125,0.1975,0.09250000000000003,4
198807,0.29,0.47400000000000003,0.236,0.05399999999999999,5
198808,0.235,0.475,0.29000000000000004,-0.05500000000000005,4
198809,0.21000000000000002,0.476,0.314,-0.10399999999999998,5
198810,0.2525,0.45999999999999996,0.2875,-0.034999999999999976,4
198811,0.2625,0.45,0.2875,-0.024999999999999967,4
198812,0.21200000000000002,0.49000000000000005,0.298,-0.08599999999999997,5
198901,0.325,0.4775,0.1975,0.1275,4
198902,0.3675,0.40249999999999997,0.23,0.13749999999999998,4
198903,0.23399999999999999,0.426,0.33999999999999997,-0.10599999999999998,5
198904,0.25,0.445,0.305,-0.05499999999999999,4
198905,0.39749999999999996,0.38,0.2225,0.17499999999999996,4
198906,0.38,0.308,0.312,0.068,5
198907,0.33,0.315,0.355,-0.024999999999999967,4
198908,0.42,0.2575,0.3225,0.09749999999999998,4
198909,0.304,0.358,0.33799999999999997,-0.033999999999999975,5
198910,0.3175,0.39,0.2925,0.025000000000000022,4
198911,0.2875,0.34,0.3725,-0.08500000000000002,4
198912,0.344,0.348,0.308,0.035999999999999976,5
199001,0.35,0.3875,0.2625,0.08749999999999997,4
199002,0.2025,0.37,0.4275,-0.22499999999999998,4
199003,0.278,0.376,0.346,-0.06799999999999995,5
199004,0.3175,0.4275,0.255,0.0625,4
199005,0.31,0.35,0.34,-0.030000000000000027,4
199006,0.36,0.316,0.324,0.035999999999999976,5
199007,0.4,0.295,0.305,0.09500000000000003,4
199008,0.23399999999999999,0.22400000000000003,0.542,-0.30800000000000005,5
199009,0.22,0.255,0.525,-0.30500000000000005,4
199010,0.18,0.23,0.59,-0.41,4
199011,0.18,0.34199999999999997,0.47800000000000004,-0.29800000000000004,5
199012,0.2575,0.32,0.4225,-0.16499999999999998,4
199101,0.25,0.3025,0.4475,-0.1975,4
199102,0.42,0.2675,0.3125,0.10749999999999998,4
199103,0.488,0.24,0.27199999999999996,0.21600000000000003,5
199104,0.4875,0.3025,0.21000000000000002,0.27749999999999997,4
199105,0.398,0.346,0.256,0.14200000000000002,5
199106,0.4125,0.3625,0.225,0.18749999999999997,4
199107,0.3275,0.4275,0.245,0.08250000000000002,4
199108,0.33799999999999997,0.38,0.282,0.055999999999999994,5
199109,0.355,0.39,0.255,0.09999999999999998,4
199110,0.3375,0.33499999999999996,0.3275,0.010000000000000009,4
199111,0.406,0.27999999999999997,0.314,0.09200000000000003,5
199112,0.3275,0.3175,0.355,-0.02749999999999997,4
199201,0.48200000000000004,0.238,0.27999999999999997,0.20200000000000007,5
199202,0.43,0.32,0.25,0.18,4
199203,0.435,0.31999999999999995,0.245,0.19,4
199204,0.4175,0.35250000000000004,0.22999999999999998,0.1875,4
199205,0.40199999999999997,0.34199999999999997,0.256,0.14599999999999996,5
