yearmo,SENT,SENT_ORTH
195801,,
195802,,
195803,,
195804,,
195805,,
195806,,
195807,,
195808,,
195809,,
195810,,
195811,,
195812,,
195901,,
195902,,
195903,,
195904,,
195905,,
195906,,
195907,,
195908,,
195909,,
195910,,
195911,,
195912,,
196001,,
196002,,
196003,,
196004,,
196005,,
196006,,
196007,,
196008,,
196009,,
196010,,
196011,,
196012,,
196101,,
196102,,
196103,,
196104,,
196105,,
196106,,
196107,,
196108,,
196109,,
196110,,
196111,,
196112,,
196201,,
196202,,
196203,,
196204,,
196205,,
196206,,
196207,,
196208,,
196209,,
196210,,
196211,,
196212,,
196301,,
196302,,
196303,,
196304,,
196305,,
196306,,
196307,,
196308,,
196309,,
196310,,
196311,,
196312,,
196401,,
196402,,
196403,,
196404,,
196405,,
196406,,
196407,,
196408,,
196409,,
196410,,
196411,,
196412,,
196501,,
196502,,
196503,,
196504,,
196505,,
196506,,
196507,-1.97769033908844,-2.222057342529297
196508,-1.9775269031524658,-2.2405827045440674
196509,-1.8305851221084595,-1.9859455823898315
196510,-1.667294979095459,-1.9742016792297363
196511,-1.7145545482635498,-1.7157174348831177
196512,-1.7013972997665405,-1.666156530380249
196601,-1.73569917678833,-1.7917566299438477
196602,-1.8782449960708618,-2.084681987762451
196603,-1.6652233600616455,-1.919049620628357
196604,-1.708966851234436,-1.8991261720657349
196605,-1.6044119596481323,-1.625478982925415
196606,-1.536649227142334,-1.3797351121902466
196607,-1.428889513015747,-1.376155138015747
196608,-1.2174608707427979,-1.166648030281067
196609,-1.3221269845962524,-1.5142066478729248
196610,-1.3515434265136719,-1.4894074201583862
196611,-1.3032082319259644,-1.3946375846862793
196612,-1.1612015962600708,-1.2132909297943115
196701,-1.0864840745925903,-1.1825156211853027
196702,-1.066750168800354,-1.1191117763519287
196703,-1.1993647813796997,-1.295088529586792
196704,-1.0657633543014526,-1.157780647277832
196705,-1.0887858867645264,-0.9630498290061951
196706,-0.9452556371688843,-0.8012974858283997
196707,-0.9082109332084656,-0.7800127863883972
196708,-0.8806524872779846,-0.8845223188400269
196709,-0.811075747013092,-0.8780602216720581
196710,-0.979489803314209,-0.9051955342292786
196711,-0.5948680639266968,-0.5187118053436279
196712,-0.2344362437725067,-0.215291365981102
196801,-0.10110706090927124,-0.15341447293758392
196802,0.1457882821559906,0.14923988282680511
196803,0.04945410415530205,-0.10950782895088196
196804,-0.029331214725971222,-0.23440420627593994
196805,0.24188868701457977,-0.015996413305401802
196806,0.41270020604133606,0.10819750279188156
196807,0.6325793266296387,0.44986528158187866
196808,0.732991099357605,0.6550576090812683
196809,0.9183744788169861,0.7647464275360107
196810,1.3765544891357422,1.404839277267456
196811,1.432698130607605,1.408191204071045
196812,2.223571300506592,2.2257752418518066
196901,2.1494698524475098,2.110167980194092
196902,1.9748473167419434,1.928107500076294
196903,2.0235862731933594,1.9568883180618286
196904,2.3900809288024902,2.446326732635498
196905,2.750861167907715,2.7359328269958496
196906,2.8049376010894775,2.863022804260254
196907,2.7735815048217773,2.7358548641204834
196908,2.6279828548431396,2.5636696815490723
196909,3.002790689468384,3.0070230960845947
196910,2.8379967212677,2.8552608489990234
196911,2.8769924640655518,2.992563486099243
196912,3.0447540283203125,3.2684085369110107
197001,2.8145432472229004,2.9585835933685303
197002,2.428159475326538,2.2330901622772217
197003,2.4224026203155518,2.4068427085876465
197004,2.2623281478881836,2.198237180709839
197005,1.9922857284545898,1.8277361392974854
197006,1.543673038482666,1.4294264316558838
197007,1.5153601169586182,1.4439480304718018
197008,1.2871357202529907,1.0905250310897827
197009,1.2067949771881104,0.975043535232544
197010,0.8895033597946167,0.7398271560668945
197011,0.6545303463935852,0.546075701713562
197012,0.5699945688247681,0.38802874088287354
197101,0.4046728014945984,0.4680108428001404
197102,0.12822677195072174,0.12065232545137405
197103,-0.04594683647155762,0.012303910218179226
197104,-0.47820910811424255,-0.4657355844974518
197105,-0.7236117124557495,-0.7215449810028076
197106,-0.8698068261146545,-0.8924400210380554
197107,-0.8393177390098572,-0.7900665402412415
197108,-0.9508654475212097,-0.925142765045166
197109,-0.8120496869087219,-0.8543802499771118
197110,-0.8831664323806763,-0.9138108491897583
197111,-1.0081729888916016,-0.9221433401107788
197112,-1.0062886476516724,-1.0057495832443237
197201,-0.804389238357544,-1.060049057006836
197202,-0.9302135705947876,-1.1489126682281494
197203,-0.8071659803390503,-1.164208173751831
197204,-0.7864832282066345,-1.1212739944458008
197205,-0.8293973803520203,-1.0268357992172241
197206,-0.7241293787956238,-0.9603860378265381
197207,-0.7641162276268005,-0.9419223070144653
197208,-0.7056406140327454,-0.9148010015487671
197209,-0.6394345164299011,-0.8794237971305847
197210,-0.6937713027000427,-0.9314600825309753
197211,-0.6400149464607239,-0.8524016737937927
197212,-0.5289568305015564,-0.7455511689186096
197301,-0.5996767282485962,-0.7392609119415283
197302,-0.387337863445282,-0.4593442976474762
197303,-0.40650248527526855,-0.4737694561481476
197304,-0.5235468149185181,-0.5174092054367065
197305,-0.7505841255187988,-0.8344700932502747
197306,-0.9668934941291809,-1.0041099786758423
197307,-1.090323567390442,-1.2195628881454468
197308,-1.2547177076339722,-1.1752732992172241
197309,-1.331743597984314,-1.3227890729904175
197310,-1.4838815927505493,-1.4824047088623047
197311,-1.748100996017456,-1.7228574752807617
197312,-1.467670202255249,-1.372839093208313
197401,-1.3144657611846924,-1.5698379278182983
197402,-1.5462325811386108,-1.7499586343765259
197403,-1.5333188772201538,-1.7569727897644043
197404,-1.8091124296188354,-2.0228540897369385
197405,-1.879379391670227,-2.0791914463043213
197406,-1.9040699005126953,-1.9905741214752197
197407,-1.933213233947754,-2.116704225540161
197408,-2.1681456565856934,-2.245823383331299
197409,-1.8831144571304321,-1.9737569093704224
197410,-2.2243669033050537,-2.218780994415283
197411,-2.437499761581421,-2.3165512084960938
197412,-2.0606470108032227,-1.8892946243286133
197501,-1.855555534362793,-1.7583187818527222
197502,-2.0475404262542725,-1.992255687713623
197503,-2.0767316818237305,-2.0853285789489746
197504,-2.090973377227783,-2.1537976264953613
197505,-2.120633840560913,-2.0284318923950195
197506,-2.1270625591278076,-2.0346691608428955
197507,-1.9672701358795166,-1.9314440488815308
197508,-1.999747395515442,-2.157662868499756
197509,-2.028900623321533,-2.0344786643981934
197510,-1.9261764287948608,-1.890059232711792
197511,-2.010334014892578,-1.9576435089111328
197512,-2.0565805435180664,-2.107818841934204
197601,-1.8791821002960205,-2.0975985527038574
197602,-1.954851508140564,-2.2387990951538086
197603,-1.9676318168640137,-2.201840400695801
197604,-1.932721495628357,-2.124221086502075
197605,-1.9630099534988403,-2.281304359436035
197606,-1.9048380851745605,-2.2030692100524902
197607,-1.8383899927139282,-2.18755841255188
197608,-1.9318583011627197,-2.269131898880005
197609,-1.9360694885253906,-2.2624943256378174
197610,-1.9263207912445068,-2.103041887283325
197611,-2.017350196838379,-2.3277814388275146
197612,-1.889532446861267,-2.26495623588562
197701,-1.742846131324768,-2.042782783508301
197702,-1.6243698596954346,-1.8943440914154053
197703,-1.520572304725647,-1.7005118131637573
197704,-1.5232396125793457,-1.720314383506775
197705,-1.7174335718154907,-1.7839655876159668
197706,-1.6989306211471558,-1.8295994997024536
197707,-1.6592966318130493,-1.7929844856262207
197708,-1.6979166269302368,-1.7118204832077026
197709,-1.6878191232681274,-1.6977035999298096
197710,-1.6684857606887817,-1.7044799327850342
197711,-1.6178958415985107,-1.5781500339508057
197712,-1.591204285621643,-1.631095290184021
197801,-1.6080044507980347,-1.509501576423645
197802,-1.588106632232666,-1.6060841083526611
197803,-1.4796297550201416,-1.6117454767227173
197804,-1.2910791635513306,-1.399598479270935
197805,-1.375221610069275,-1.4054787158966064
197806,-1.4093506336212158,-1.4182651042938232
197807,-1.5117734670639038,-1.4478951692581177
197808,-1.4934061765670776,-1.4925694465637207
197809,-1.4191865921020508,-1.4083611965179443
197810,-1.3930758237838745,-1.3758859634399414
197811,-1.3630844354629517,-1.4042630195617676
197812,-1.3533029556274414,-1.4129979610443115
197901,-1.1639678478240967,-1.0050688982009888
197902,-1.2169004678726196,-1.1103644371032715
197903,-1.2705801725387573,-1.1413401365280151
197904,-1.232862949371338,-1.098260521888733
197905,-1.1435192823410034,-1.0538626909255981
197906,-0.944976806640625,-0.824702799320221
197907,-0.7921213507652283,-0.5473311543464661
