date,cay
195201,0.0151049319
195202,0.0248372672
195203,0.014840079
195204,0.0221659845
195301,0.0215211835
195302,0.015925245
195303,0.0148007265
195304,0.0121913077
195401,0.0182928929
195402,0.0243729346
195403,0.0257567794
195404,0.0254240549
195501,0.0354531586
195502,0.0284446613
195503,0.0203354925
195504,0.0192916004
195601,0.0072753827
195602,0.000774889
195603,0.0006634742
195604,-0.0025241662
195701,0.0020414294
195702,-0.0045282568
195703,0.0034330491
195704,0.0067062341
195801,0.0061674996
195802,0.0059876886
195803,-0.0046343284
195804,-0.0074100057
195901,0.001385457
195902,0.0006501225
195903,0.0149907574
195904,0.0089026666
196001,0.0056602557
196002,0.0120616917
196003,0.0091629529
196004,0.0073829485
196101,-0.0035541263
196102,-0.0044955746
196103,-0.0123153951
196104,-0.0112008487
196201,-0.0098445659
196202,0.002761635
196203,0.0042057374
196204,0.0031130157
196301,-0.0002984348
196302,-0.0015400299
196303,0.0009623816
196304,-0.0010589681
196401,-0.0009125693
196402,-0.0080067401
196403,-0.0039418676
196404,-0.0124556986
196501,-0.0023712254
196502,0.0019878291
196503,-0.0099590803
196504,-0.0047284959
196601,0.0071854526
196602,5.60508e-05
196603,0.001898605
196604,-0.0107372762
196701,-0.0234256432
196702,-0.0191358031
196703,-0.0259082452
196704,-0.032898951
196801,-0.0231113698
196802,-0.0296262239
196803,-0.0164726639
196804,-0.0275663503
196901,-0.0173922222
196902,-0.0172557558
196903,-0.0287794845
196904,-0.0263537082
197001,-0.0272926211
197002,-0.0288190676
197003,-0.0341623195
197004,-0.0372401825
197101,-0.0415611117
197102,-0.0476860148
197103,-0.0445839936
197104,-0.0409913471
197201,-0.040207793
197202,-0.0329125142
197203,-0.0308053599
197204,-0.0456898299
197301,-0.033972033
197302,-0.0362380677
197303,-0.0373302933
197304,-0.0379492102
197401,-0.0322899817
197402,-0.0214190014
197403,-0.0105853618
197404,-0.0234051416
197501,-0.0205085588
197502,-0.0494513477
197503,-0.0196418288
197504,-0.0182173893
197601,-0.0150434174
197602,-0.0143902618
197603,-0.0108123816
197604,-0.0046822015
197701,0.0058407414
197702,0.0004551784
197703,-0.0028229076
197704,0.0007117002
197801,-0.0011994177
197802,0.0084441204
197803,0.0022501757
197804,0.003597466
197901,-0.0028614314
197902,0.000890287
197903,0.0031711126
197904,0.0043024938
198001,0.0027006231
198002,-0.0171098706
198003,-0.0183844128
198004,-0.0104495035
198101,-0.0017702379
198102,-0.0041392538
198103,-0.0075469325
198104,-0.0178918775
198201,-0.0117549888
198202,-0.0122122506
198203,-0.012116593
198204,-6.37752e-05
198301,-0.0003350167
198302,0.0090776858
198303,0.0189488438
198304,0.0203712679
198401,0.0168623585
198402,0.0195663615
198403,0.0158011573
198404,0.0171738076
198501,0.0331353284
198502,0.0212983544
198503,0.0380071635
198504,0.0264690807
198601,0.0208200767
198602,0.0161191498
198603,0.0257415882
198604,0.0204511343
198701,0.008310075
198702,0.0263567175
198703,0.0231658465
198704,0.0185447723
198801,0.0228703463
198802,0.0170534172
198803,0.0207166177
198804,0.0220446356
198901,0.0219163985
198902,0.027014473
198903,0.0257822142
198904,0.0199554069
199001,0.0230250315
199002,0.0172761858
199003,0.0265399573
199004,0.0225168835
199101,0.0093262667
199102,0.0100659633
199103,0.0091111052
199104,-0.0045912769
199201,-0.0036224895
199202,-0.0044140032
199203,0.0004203445
199204,0.0050673051
199301,0.0070738324
199302,0.0117676902
199303,0.0167963037
199304,0.0184474766
199401,0.0274179478
199402,0.0265839715
199403,0.0298033079
199404,0.0305982768
199501,0.023697188
199502,0.0277687719
199503,0.0267566761
199504,0.0280551823
199601,0.0279619657
199602,0.0304336193
199603,0.0291593133
199604,0.0306755847
199701,0.0325448099
199702,0.0210349007
199703,0.0223843951
199704,0.0200561179
199801,0.0057970734
199802,0.0096089346
199803,0.0183530795
199804,0.0126581688
199901,0.0092644926
199902,0.0164609591
199903,0.0226688932
199904,0.0127372301
200001,0.0073286953
200002,0.0137258848
200003,0.010833411
200004,0.0217325643
200101,0.0190564917
200102,0.0174433822
200103,0.0093176972
200104,0.0213034519
200201,0.0038227104
200202,0.0062637218
200203,0.018064397
200204,0.0157139517
200301,0.0206878097
200302,0.0104405888
200303,0.0084875978
200304,0.0051602424
200401,0.0037667278
200402,-0.001737625
200403,-0.0029590234
200404,-0.0008330703
200501,0.004257769
200502,0.005979418
200503,0.0090454383
200504,0.0058679199
200601,-0.0016019952
200602,0.0063547117
200603,0.0081129576
200604,0.0001676025
200701,-0.0070903288
200702,-0.0022495972
200703,0.0015077819
200704,0.0060812497
200801,0.0098434074
200802,-0.006757064
200803,0.0192101188
200804,0.0071836608
200901,0.0052245734
200902,-0.0172395316
200903,-0.0069521652
200904,-0.0075487891
201001,-0.0071367124
201002,-0.008527399
201003,-0.0131255868
201004,-0.0111788314
201101,-0.013824761
201102,-0.0059697897
201103,0.0041501232
201104,0.0069474207
201201,-0.0003403114
201202,-0.0019673215
201203,-0.0054640097
201204,-0.0147509086
201301,0.0040586637
201302,-0.0042481174
201303,-0.0080159264
201304,-0.0083983124
201401,-0.0163367627
201402,-0.0148513167
201403,-0.0126732763
201404,-0.0175553251
201501,-0.0273482968
201502,-0.0245887322
201503,-0.0188494511
201504,-0.02350179
201601,-0.0232180745
201602,-0.0182351113
201603,-0.0194222318
201604,-0.0190280181
201701,-0.0216866067
201702,-0.0243213368
201703,-0.0279958735
201704,-0.0249022235
201801,-0.0319378136
201802,-0.0289749884
201803,-0.0293450786
201804,-0.0202073417
201901,-0.0443544871
201902,-0.0376415487
201903,-0.0366592218
