ym,cbcci
196912,126.0
197001,126.0
197002,101.7
197003,101.7
197004,98.0
197005,98.0
197006,88.1
197007,88.1
197008,91.0
197009,91.0
197010,83.2
197011,83.2
197012,75.7
197101,75.7
197102,77.4
197103,77.4
197104,75.2
197105,75.2
197106,82.3
197107,82.3
197108,82.1
197109,82.1
197110,80.3
197111,80.3
197112,85.0
197201,85.0
197202,93.6
197203,93.6
197204,95.1
197205,95.1
197206,98.9
197207,98.9
197208,104.1
197209,104.1
197210,112.0
197211,112.0
197212,116.1
197301,116.1
197302,110.8
197303,110.8
197304,102.8
197305,102.8
197306,104.4
197307,104.4
197308,93.8
197309,93.8
197310,107.5
197311,107.5
197312,70.6
197401,70.6
197402,62.7
197403,62.7
197404,95.1
197405,95.1
197406,92.5
197407,92.5
197408,77.3
197409,77.3
197410,54.5
197411,54.5
197412,43.2
197501,43.2
197502,54.5
197503,54.5
197504,66.4
197505,66.4
197506,72.2
197507,72.2
197508,82.4
197509,82.4
197510,77.6
197511,77.6
197512,93.7
197601,93.7
197602,101.0
197603,101.0
197604,89.5
197605,89.5
197606,94.5
197607,94.5
197608,94.6
197609,94.6
197610,87.1
197611,87.1
197612,98.9
197701,98.9
197702,97.6
197703,97.6
197704,93.1
197705,93.1
197706,98.2
197707,97.5
197708,98.7
197709,96.7
197710,95.5
197711,98.9
197712,109.7
197801,107.8
197802,107.0
197803,104.7
197804,109.9
197805,105.5
197806,109.5
197807,105.4
197808,108.0
197809,106.6
197810,108.6
197811,96.5
197812,102.2
197901,99.5
197902,101.5
197903,96.4
197904,94.6
197905,96.0
197906,92.7
197907,81.4
197908,79.4
197909,87.8
197910,92.3
197911,90.2
197912,90.7
198001,85.9
198002,85.3
198003,80.8
198004,60.5
198005,50.1
198006,56.1
198007,65.4
198008,70.8
198009,80.3
198010,84.2
198011,87.2
198012,78.6
198101,74.4
198102,69.0
198103,77.8
198104,81.6
198105,86.9
198106,83.0
198107,83.5
198108,85.7
198109,77.6
198110,75.6
198111,66.9
198112,66.6
198201,64.9
198202,62.3
198203,56.7
198204,57.0
198205,61.4
198206,56.7
198207,63.2
198208,56.9
198209,58.1
198210,54.3
198211,57.4
198212,59.5
198301,59.0
198302,67.6
198303,79.4
198304,83.1
198305,87.7
198306,87.5
198307,89.0
198308,91.2
198309,91.1
198310,92.1
198311,96.7
198312,103.6
198401,103.9
198402,101.0
198403,101.1
198404,106.1
198405,104.8
198406,105.8
198407,100.4
198408,103.1
198409,100.0
198410,99.1
198411,105.5
198412,97.0
198501,102.0
198502,103.1
198503,96.1
198504,104.4
198505,99.6
198506,102.6
198507,103.2
198508,100.9
198509,96.0
198510,96.1
198511,98.1
198512,98.2
198601,96.9
198602,96.0
198603,95.1
198604,100.0
198605,100.2
198606,100.0
198607,97.5
198608,91.7
198609,89.7
198610,85.8
198611,89.7
198612,93.2
198701,85.4
198702,91.8
198703,95.8
198704,97.4
198705,103.0
198706,102.1
198707,105.8
198708,110.7
198709,115.7
198710,115.1
198711,100.8
198712,107.7
198801,109.9
198802,114.9
198803,112.7
198804,115.7
198805,120.2
198806,115.7
198807,113.5
198808,119.7
198809,110.7
198810,116.9
198811,112.9
198812,119.4
198901,115.8
198902,120.7
198903,117.4
198904,116.6
198905,116.7
198906,117.2
198907,120.4
198908,115.4
198909,116.3
198910,117.0
198911,115.1
198912,113.0
199001,106.5
199002,106.7
199003,110.6
199004,107.3
199005,107.3
199006,102.4
199007,101.7
199008,84.7
199009,85.6
199010,62.6
199011,61.7
199012,61.2
199101,55.1
199102,59.4
199103,81.1
199104,79.4
199105,76.4
199106,78.0
199107,77.7
199108,76.1
199109,72.9
199110,60.1
199111,52.7
199112,52.5
199201,50.2
199202,47.3
199203,56.5
199204,65.1
199205,71.9
199206,72.6
199207,61.2
199208,59.0
199209,57.3
199210,54.6
199211,65.6
199212,78.1
199301,76.7
199302,68.5
199303,63.2
199304,67.6
199305,61.9
199306,58.6
199307,59.2
199308,59.3
199309,63.8
199310,60.5
199311,71.9
199312,79.8
199401,82.6
199402,79.9
199403,86.7
199404,92.1
199405,88.9
199406,92.5
199407,91.3
199408,90.4
199409,89.5
199410,89.1
199411,100.4
199412,103.4
199501,101.4
199502,99.4
199503,100.2
199504,104.6
199505,102.0
199506,94.6
199507,101.4
199508,102.4
199509,97.3
199510,96.3
199511,101.6
199512,99.2
199601,88.4
199602,98.0
199603,98.4
199604,104.8
199605,103.5
199606,100.1
199607,107.0
199608,112.0
199609,111.8
199610,107.3
199611,109.5
199612,114.2
199701,118.7
199702,118.9
199703,118.5
199704,118.5
199705,127.9
199706,129.9
199707,126.3
199708,127.6
199709,130.2
199710,123.4
199711,128.1
199712,136.2
199801,128.3
199802,137.4
199803,133.8
199804,137.2
199805,136.3
199806,138.2
199807,137.2
199808,133.1
199809,126.4
199810,119.3
199811,126.4
199812,126.7
199901,128.9
199902,133.1
199903,134.0
199904,135.5
199905,137.7
199906,139.0
199907,136.2
199908,136.0
199909,134.2
199910,130.5
199911,137.0
199912,141.7
200001,144.7
200002,140.8
200003,137.1
200004,137.7
200005,144.7
200006,139.2
200007,143.0
200008,140.8
200009,142.5
200010,135.8
200011,132.6
200012,128.6
200101,115.7
200102,109.2
200103,116.9
200104,109.9
200105,116.1
200106,118.9
200107,116.3
200108,114.0
200109,97.0
200110,85.3
200111,84.9
200112,94.6
200201,97.8
200202,95.0
200203,110.7
200204,108.5
200205,110.3
200206,106.3
200207,97.4
200208,94.5
200209,93.7
200210,79.6
200211,84.9
200212,80.7
200301,78.8
200302,64.8
200303,61.4
200304,81.0
200305,83.6
200306,83.5
200307,77.0
200308,81.7
200309,77.0
200310,81.7
200311,92.5
200312,94.8
200401,97.7
200402,88.5
200403,88.5
200404,93.0
200405,93.1
200406,102.8
200407,105.7
200408,98.7
200409,96.7
200410,92.9
200411,92.6
200412,102.7
200501,105.1
200502,104.4
200503,103.0
200504,97.5
200505,103.1
200506,106.2
200507,103.6
200508,105.5
200509,87.5
200510,85.2
200511,98.3
200512,103.8
200601,106.8
200602,102.7
200603,107.5
200604,109.8
200605,104.7
200606,105.4
200607,107.0
200608,100.2
200609,105.9
200610,105.1
200611,105.3
200612,110.0
200701,110.2
200702,111.2
200703,108.2
200704,106.3
200705,108.5
200706,105.3
200707,111.9
200708,105.6
200709,99.5
200710,95.2
200711,87.8
200712,90.6
200801,82.8
200802,75.0
200803,64.5
200804,62.3
200805,52.7
200806,50.4
200807,51.9
200808,56.9
200809,59.8
200810,38.0
200811,44.9
200812,38.0
200901,37.7
200902,25.0
200903,26.0
200904,39.2
200905,54.9
200906,49.3
200907,46.6
200908,54.1
200909,53.1
200910,47.7
200911,49.5
200912,52.9
201001,55.9
201002,46.0
201003,52.5
201004,57.9
201005,63.3
201006,52.9
201007,50.4
201008,53.5
201009,48.5
201010,50.2
201011,54.1
201012,52.5
201101,60.6
201102,70.4
201103,63.4
201104,65.4
201105,60.8
201106,58.5
201107,59.5
201108,44.5
201109,45.4
201110,39.8
201111,56.0
201112,64.5
201201,61.1
201202,70.8
201203,70.2
201204,69.2
201205,64.9
201206,62.0
201207,65.9
201208,60.6
201209,70.3
201210,72.2
201211,73.7
201212,65.1
201301,58.6
201302,69.6
201303,59.7
201304,68.1
201305,76.2
201306,81.4
201307,80.3
201308,81.5
201309,79.7
201310,71.2
201311,70.4
201312,78.1
201401,80.7
201402,78.1
201403,82.3
201404,82.3
201405,83.0
201406,85.2
201407,90.9
201408,92.4
201409,86.0
201410,94.5
201411,88.7
201412,92.6
201501,102.9
201502,96.4
201503,101.3
201504,95.2
201505,95.4
201506,101.4
201507,90.9
201508,101.5
201509,103.0
201510,97.6
201511,90.4
201512,96.5
201601,98.1
201602,92.2
201603,96.2
201604,94.2
201605,92.6
201606,98.0
201607,97.3
201608,101.1
201609,104.1
201610,98.6
201611,107.1
201612,113.7
201701,111.8
201702,114.8
201703,125.6
201704,120.3
201705,117.9
201706,118.9
201707,121.1
201708,122.9
201709,119.8
201710,125.9
201711,129.5
201712,122.1
201801,125.4
201802,130.8
201803,127.7
201804,128.7
201805,128.0
201806,126.4
201807,127.4
201808,133.4
201809,138.4
201810,137.9
201811,135.7
201812,128.1
201901,120.2
201902,131.4
201903,124.1
201904,129.2
201905,134.1
201906,121.5
201907,135.7
201908,135.1
201909,125.1
201910,125.9
201911,125.5
201912,126.5
202001,131.6
202002,130.7
202003,120.0
202004,86.9
202005,86.6
202006,98.1
202007,92.6
202008,84.8
202009,101.8
202010,100.9
202011,96.1
202012,88.6
202101,89.3
202102,91.3
202103,109.7
202104,121.7
202105,117.2
202106,127.3
202107,129.1
202108,113.8
202109,109.3
202110,113.8
202111,109.5
202112,115.8
202201,113.8
202202,110.5
202203,107.2
202204,107.3
202205,106.4
202206,98.7
202207,95.7
202208,103.2
202209,108.0
202210,102.5
202211,100.2
202212,108.3
202301,107.1
202302,102.9
202303,104.2
202304,101.3
202305,102.3
202306,109.7
202307,117.0
202308,106.1
202309,103.0
202310,102.6
202311,102.0
202312,110.7
202401,114.8
202402,106.7
202403,104.7
202404,97.0
202405,102.0
202406,100.4
202407,100.3
202408,103.3
202409,98.7
202410,108.7
202411,111.7
202412,104.7
202501,104.1
202502,98.3
202503,92.9
202504,86.0
202505,98.0
202506,93.0
202507,97.2
202508,97.4
202509,94.2
202510,94.6
202511,88.7
202512,89.1
202601,84.5
202602,91.2
202603,91.8
202604,92.8
202605,93.1
202606,91.2
202607,90.8
202608,89.4
