ym,cfnai
196702,-0.35
196703,0.0
196704,-0.56
196705,0.04
196706,-0.32
196707,1.04
196708,-0.05
196709,0.03
196710,1.36
196711,1.01
196712,-0.46
196801,0.43
196802,0.39
196803,0.13
196804,0.67
196805,0.27
196806,0.23
196807,0.02
196808,0.49
196809,0.56
196810,0.82
196811,0.01
196812,0.34
196901,0.51
196902,0.51
196903,0.05
196904,-0.01
196905,0.38
196906,0.18
196907,0.45
196908,-0.09
196909,0.2
196910,-0.81
196911,-0.23
196912,-1.36
197001,-0.15
197002,-0.57
197003,-0.7
197004,-0.32
197005,-0.27
197006,0.0
197007,-0.56
197008,-0.64
197009,-1.81
197010,-1.03
197011,1.66
197012,0.57
197101,0.0
197102,-0.05
197103,0.47
197104,0.45
197105,0.41
197106,-0.13
197107,-0.05
197108,1.02
197109,0.44
197110,0.66
197111,0.86
197112,1.45
197201,0.4
197202,1.06
197203,0.76
197204,0.52
197205,0.52
197206,-0.05
197207,1.53
197208,0.91
197209,1.39
197210,1.32
197211,1.23
197212,1.09
197301,1.26
197302,0.48
197303,0.09
197304,0.48
197305,0.24
197306,0.53
197307,-0.38
197308,0.66
197309,1.09
197310,0.82
197311,-0.4
197312,-0.22
197401,-0.26
197402,0.08
197403,-0.36
197404,0.49
197405,-0.29
197406,-0.27
197407,-0.73
197408,-0.86
197409,-1.1
197410,-2.48
197411,-3.36
197412,-1.82
197501,-2.11
197502,-2.05
197503,-0.24
197504,-0.22
197505,0.13
197506,0.65
197507,0.71
197508,0.63
197509,0.3
197510,0.14
197511,0.89
197512,1.4
197601,0.82
197602,0.42
197603,0.34
197604,0.21
197605,0.22
197606,0.31
197607,0.28
197608,0.36
197609,-0.33
197610,1.0
197611,1.12
197612,-0.19
197701,1.15
197702,1.1
197703,0.66
197704,0.68
197705,0.73
197706,0.37
197707,0.29
197708,0.43
197709,0.44
197710,0.53
197711,0.8
197712,-1.24
197801,1.04
197802,1.33
197803,1.81
197804,0.37
197805,0.82
197806,-0.1
197807,0.71
197808,0.29
197809,0.75
197810,0.74
197811,0.53
197812,-0.38
197901,0.14
197902,1.03
197903,-1.42
197904,1.17
197905,-0.04
197906,-0.14
197907,-0.45
197908,-0.06
197909,0.01
197910,-0.32
197911,-0.17
197912,0.13
198001,-0.54
198002,-1.17
198003,-2.25
198004,-2.39
198005,-1.25
198006,-0.63
198007,0.31
198008,1.0
198009,1.13
198010,0.64
198011,0.35
198012,-0.27
198101,-0.44
198102,-0.09
198103,-0.04
198104,-0.05
198105,-0.28
198106,0.06
198107,-0.46
198108,-0.97
198109,-1.3
198110,-1.35
198111,-1.57
198112,-1.83
198201,0.91
198202,-0.96
198203,-1.08
198204,-0.63
198205,-1.17
198206,-0.78
198207,-1.09
198208,-0.58
198209,-1.28
198210,-0.54
198211,-0.53
198212,1.13
198301,-0.46
198302,0.72
198303,0.68
198304,0.93
198305,1.15
198306,1.07
198307,0.45
198308,1.59
198309,0.98
198310,0.77
198311,0.98
198312,1.28
198401,0.68
198402,0.44
198403,0.59
198404,0.6
198405,0.61
198406,0.1
198407,-0.01
198408,-0.06
198409,0.17
198410,0.42
198411,0.06
198412,-0.09
198501,-0.04
198502,0.36
198503,-0.28
198504,0.38
198505,-0.53
198506,-0.2
198507,0.54
198508,0.24
198509,-0.38
198510,0.33
198511,0.28
198512,0.61
198601,-0.53
198602,-0.2
198603,0.52
198604,-0.15
198605,-0.13
198606,0.34
198607,0.08
198608,0.65
198609,-0.26
198610,0.02
198611,0.95
198612,-0.98
198701,1.51
198702,0.14
198703,0.25
198704,0.43
198705,0.29
198706,0.67
198707,0.32
198708,0.47
198709,0.71
198710,0.26
198711,0.56
198712,-0.16
198801,0.52
198802,0.45
198803,0.27
198804,-0.03
198805,0.46
198806,-0.02
198807,0.04
198808,0.06
198809,0.49
198810,0.25
198811,0.57
198812,0.26
198901,-0.45
198902,-0.16
198903,0.12
198904,-0.6
198905,-0.21
198906,-0.83
198907,0.66
198908,-0.51
198909,-0.42
198910,0.15
198911,-0.02
198912,-0.23
199001,0.55
199002,0.17
199003,-0.71
199004,0.02
199005,-0.04
199006,-0.58
199007,-0.22
199008,-0.81
199009,-0.92
199010,-1.41
199011,-0.96
199012,-1.09
199101,-0.86
199102,-0.9
199103,0.02
199104,-0.05
199105,0.03
199106,0.15
199107,-0.34
199108,0.26
199109,-0.36
199110,-0.4
199111,-0.81
199112,-0.07
199201,0.1
199202,0.44
199203,0.24
199204,-0.06
199205,0.05
199206,0.42
199207,-0.61
199208,0.09
199209,0.21
199210,0.1
199211,0.46
199212,0.21
199301,0.16
199302,-0.46
199303,0.26
199304,-0.12
199305,0.04
199306,-0.01
199307,-0.03
199308,0.4
199309,0.36
199310,0.3
199311,0.51
199312,0.07
199401,0.22
199402,0.98
199403,0.26
199404,0.41
199405,0.45
199406,0.05
199407,0.82
199408,0.12
199409,0.63
199410,0.53
199411,0.62
199412,0.12
199501,-0.25
199502,-0.07
199503,-0.55
199504,0.02
199505,0.23
199506,-0.59
199507,0.74
199508,0.13
199509,-0.29
199510,0.03
199511,0.07
199512,-0.87
199601,0.74
199602,-0.15
199603,0.43
199604,0.4
199605,0.35
199606,0.06
199607,0.22
199608,0.3
199609,0.05
199610,0.49
199611,0.06
199612,0.27
199701,0.82
