Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1927-01-31,1.0954,-8.1351,-4.8279,3.0498,2.021,3.0069,-4.2859,0.2067,-0.0538,11.0569,-0.6381,-0.222,-0.6424,2.3344,2.5976,2.3758,1.4755,-0.506,0.2308,7.3063,-0.7785,0.3287,-0.4351,0.553,4.2141
1927-02-28,2.8671,-0.4921,8.5077,5.2579,9.9279,1.509,10.2366,7.87,3.6064,7.5866,6.1528,5.5348,4.3743,6.5731,13.3006,5.2957,4.2687,2.347,6.7817,11.4692,3.4579,5.1109,3.4244,5.1397,6.273
1927-03-31,5.8224,-0.0729,-5.8768,-3.9185,-3.5776,-2.4636,-2.8409,-2.0166,-0.7001,-0.6648,-0.9633,-3.5707,-0.6786,-1.9556,-5.9027,-2.2014,0.1653,-1.3741,-1.3764,3.911,0.5893,2.0004,-0.1196,0.4786,-3.8448
1927-04-30,7.8273,4.7879,4.3995,3.3904,6.4234,-2.9653,-4.1613,-0.3033,-0.4134,4.5992,-0.8524,1.4032,-0.5039,2.0663,1.8717,-0.2725,1.8582,-1.1457,0.0691,5.753,2.6945,0.8937,-0.3006,-0.4252,-3.5345
1927-05-31,10.0337,7.2563,2.5786,14.6799,10.9636,7.3146,2.1944,5.4369,9.0003,13.453,3.0284,6.6717,6.1431,7.0944,12.8655,4.8347,6.1917,3.6611,7.1862,7.7198,5.6952,4.6865,5.5468,5.4253,4.7761
1927-06-30,-3.366,10.5898,-3.0587,-4.321,-5.2461,3.3013,2.2496,4.5775,-0.944,-6.4111,-0.7235,-3.6525,-0.8103,0.1059,1.7359,1.0368,-3.2438,-3.7451,-2.298,1.9886,-0.0566,-3.1629,-2.7629,-3.0662,-5.376
1927-07-31,24.4088,10.7355,4.6663,2.6884,5.4721,5.6662,6.9858,4.0999,7.0469,4.0386,2.7364,5.837,6.1353,2.7817,8.845,6.7533,7.6313,7.0783,7.5294,1.4323,11.3377,5.7991,6.6701,8.597,13.4463
1927-08-31,11.7732,1.7144,0.7827,-1.0902,0.4598,0.977,-2.4946,-1.7741,1.0052,5.1791,0.3859,2.0235,3.1137,-2.4152,-5.4265,4.8608,2.8607,1.0615,-2.63,-6.3109,5.6799,1.2221,0.4868,0.8693,3.9099
1927-09-30,-4.9477,-6.7692,0.5118,0.1151,0.7803,2.8017,7.8487,3.345,0.8709,-1.0304,3.4347,0.1226,1.9898,1.4024,9.2306,4.1893,3.1353,4.8659,4.2517,9.8708,5.9378,4.0847,5.5908,3.9949,5.5923
1927-10-31,-8.8937,-8.6898,-2.2256,-3.6986,-10.1607,2.3069,-1.0027,0.1247,-4.2447,-4.9171,-0.6615,-1.6228,0.3232,-4.0573,-10.0353,0.5153,-2.0353,-2.6713,-4.7123,-11.781,-5.0131,-2.2333,-4.1558,-6.455,-14.5456
1927-11-30,4.3842,11.4327,16.5278,10.1868,11.9645,14.2013,15.2073,8.1785,9.0574,9.0667,6.3799,8.6412,7.863,7.0512,9.8731,7.6701,8.5808,7.6631,7.7876,8.1009,6.875,6.5099,6.0045,7.0426,8.0776
1927-12-31,-3.9894,7.3888,3.8196,4.5378,6.9511,4.8119,3.7386,2.3815,3.0095,-0.3422,4.5741,4.6368,5.0609,3.4771,11.3298,0.0582,5.5717,4.3645,1.6743,-2.3196,2.8698,1.31,1.2708,2.4474,10.3769
1928-01-31,-8.2763,7.466,5.0289,1.7808,9.9833,1.2739,3.8999,0.3138,5.0185,2.2785,4.8654,2.8129,4.0929,2.2307,-5.8498,1.7774,1.0841,0.4667,2.2131,0.3207,-1.2715,-0.2543,-0.6323,-1.6469,-5.0648
1928-02-29,0.6463,-4.8226,5.7779,3.015,-4.8247,-5.7779,-2.0635,-2.5777,-2.1401,-5.6042,-2.5475,-1.9375,-2.8542,-2.5331,-6.0539,-4.7599,-1.3008,-2.5401,-3.0078,-8.5239,-0.1456,-0.6269,-0.4908,-2.1211,-1.3891
1928-03-31,40.0537,0.3278,2.1025,-2.7415,8.9593,4.7345,11.8262,6.871,7.6034,14.3913,6.2161,11.5116,10.0992,3.1272,10.3356,16.3865,9.0617,5.8283,7.769,7.908,15.8214,5.242,6.663,5.6627,16.7278
1928-04-30,-12.881,14.7798,17.1058,2.9666,15.5921,0.3554,23.695,3.698,4.9326,10.4198,7.9353,4.7382,7.364,4.5822,6.9519,5.2341,4.7964,2.3849,4.539,3.7146,1.4264,6.8062,6.6231,2.7776,3.3096
1928-05-31,17.7179,-3.0154,4.3668,14.07,5.9296,2.0846,2.7487,5.5439,6.1727,3.2916,2.7634,6.8538,1.2893,-1.3378,-3.1254,5.3999,-0.2297,1.1089,1.1633,2.1586,2.0855,2.131,-0.5468,1.2094,-3.8807
1928-06-30,-19.2709,-8.9595,-13.2422,-8.5749,-9.4591,-7.9698,-9.3158,-9.3793,-7.7645,-5.979,-6.412,-4.6583,-7.1768,-7.292,-7.0888,-7.1312,-5.5104,-3.4274,-5.7357,-5.8891,-3.104,-3.6349,-3.5185,-4.8694,-9.112
1928-07-31,-2.0217,3.5684,5.3844,1.2272,-0.3158,1.0913,-3.786,-1.1693,0.8002,-2.6183,-0.0413,-0.3134,-0.6747,0.3433,1.293,0.8128,-0.6047,1.3311,1.569,0.8679,1.586,0.236,0.1686,0.3016,0.7708
1928-08-31,7.5257,0.5454,4.1219,2.8015,3.5137,6.8055,3.8261,3.7556,3.2647,4.5088,6.4746,9.0327,8.4499,4.1817,8.1984,9.9165,8.1691,6.4621,7.7904,7.7461,8.7102,6.5941,5.2835,4.4407,4.9839
1928-09-30,3.7128,3.1613,1.9897,-0.2091,13.4699,3.1136,2.6532,5.7491,5.0118,13.4818,5.8082,4.738,5.4907,6.4423,3.0627,5.3989,6.4761,2.9627,3.0373,5.9184,2.7789,1.0264,2.2595,0.5869,6.9794
1928-10-31,-3.9425,-3.8778,4.3795,3.7425,6.4494,5.0072,3.0888,2.2822,1.3848,2.2084,3.9513,4.9578,2.62,0.2257,-2.5025,1.1071,-1.0247,-1.7483,4.733,-3.6579,1.4639,2.9037,1.3474,-0.3614,4.7456
1928-11-30,3.8603,30.2107,7.7078,16.7378,12.7121,6.694,7.8822,10.2999,13.4954,8.2554,9.6832,11.3619,18.7164,13.7625,15.6689,10.9223,11.8125,9.7613,7.7165,14.2763,11.5603,10.4534,16.0832,9.1276,17.8915
1928-12-31,-5.4316,-7.6129,-5.4498,-2.4302,-2.0332,-3.3339,-2.6891,-0.944,-4.0896,0.3737,3.1147,-0.0951,1.1249,1.206,0.5792,3.4404,3.7343,0.3514,1.7525,-3.3413,0.5873,1.1556,-1.0312,1.297,0.3726
1929-01-31,2.9249,8.2436,-3.8686,5.9936,5.192,4.0845,1.4254,1.4491,-0.2671,-0.5393,1.6877,4.7525,-4.7458,4.3288,2.4857,4.6239,4.8917,3.7165,1.5502,1.1437,6.5748,10.2571,2.3122,4.9802,0.0248
1929-02-28,0.9617,-7.9992,-2.8183,0.0022,-1.7637,-3.2488,1.8521,3.7686,0.6565,5.2965,1.3547,0.1969,0.5902,4.1228,0.2401,-1.4402,1.4217,2.3577,0.4267,1.9539,-0.7818,0.9801,0.4463,0.7347,3.4624
1929-03-31,-14.5269,-0.6032,-2.1337,-4.6768,-2.9964,-4.0739,-5.8814,-5.0893,-2.364,-4.164,-7.2089,-4.9265,-2.8055,-3.1814,-5.7807,-4.4902,-5.1526,1.3651,-1.2185,-1.1297,-0.1755,0.8493,3.5263,0.0438,0.7492
1929-04-30,-4.4228,-8.8404,-0.9604,7.4638,-1.6192,0.0187,0.7853,4.7932,-2.2915,6.1626,1.751,0.6826,3.7295,-0.2433,-0.2536,2.7159,0.2676,-0.4999,1.2809,4.5724,2.2448,2.8698,0.8815,0.8057,2.8579
1929-05-31,-21.8773,-6.4153,-17.6682,-15.6066,-13.0788,-11.2805,-11.7704,-8.2901,-13.3545,-13.8979,-6.6427,-10.5278,-8.5769,-9.3912,-9.2183,-7.171,-10.5102,-3.2514,-4.793,0.8989,-5.806,-5.9205,-3.095,-2.6705,-1.6713
1929-06-30,15.9956,4.0665,3.9194,7.3318,6.9371,3.673,7.3261,11.0917,4.252,6.7068,7.2505,10.898,10.7548,7.9539,8.5869,13.3921,10.7634,11.0748,9.1304,3.5945,11.9153,13.6849,7.9175,7.7938,4.7244
1929-07-31,1.1742,-5.2126,-1.8996,-8.9964,2.3089,-2.316,2.4317,-2.0221,0.3756,6.2303,1.1478,3.7007,0.856,0.3847,10.7093,2.4293,2.7453,1.972,2.441,4.4398,3.0181,6.5555,5.9969,8.4835,5.1453
1929-08-31,-4.1262,-4.7118,-8.9336,4.7021,-4.8611,-1.2892,-0.4058,0.7785,0.8424,-0.5221,1.0571,0.6644,5.6009,1.7702,-0.2876,4.9927,-0.1128,4.2345,5.379,7.7956,6.6194,12.9692,13.2823,13.4379,6.8384
1929-09-30,-10.3133,-1.9791,-9.7644,-5.9052,-9.7142,-7.5759,-2.0322,-4.7108,-5.7178,-2.0971,-8.8968,0.0146,-1.483,-4.072,-0.6225,0.8272,1.2245,-4.6493,-4.1104,-7.2368,-5.9327,-3.75,-4.0234,-7.2099,-6.872
1929-10-31,-26.3743,-23.6799,-17.9997,-23.7402,-19.6194,-19.7024,-19.1757,-23.876,-17.3908,-19.2431,-27.0998,-21.3748,-12.5222,-16.4013,-20.7672,-31.4036,-23.7457,-16.4924,-13.4418,-17.0656,-23.958,-21.3645,-13.1763,-10.6114,-7.4875
1929-11-30,-1.3562,-18.3961,-4.8762,-15.8612,-11.9401,-19.3908,-14.8812,-8.4293,-8.5944,-13.2392,-13.715,-12.9251,-7.7971,-7.4828,-10.3006,-14.7241,-13.368,-7.8161,-8.7895,-11.3982,-13.208,-15.8353,-10.09,-9.6503,-6.3362
1929-12-31,-0.4171,-15.6075,-10.7756,-8.0243,-3.4177,-4.8964,-6.1556,-7.798,0.5151,-2.2674,-0.9029,-0.9142,1.9947,-1.9636,5.3172,3.1174,-6.0358,-2.5305,0.5811,10.9565,3.7245,3.5575,0.455,0.6355,0.8745
