Date,Big_HiOP_HiINV,Big_HiOP_INV2,Big_HiOP_INV3,Big_HiOP_LoINV,Big_LoOP_HiINV,Big_LoOP_INV2,Big_LoOP_INV3,Big_LoOP_LoINV,Big_OP2_HiINV,Big_OP2_INV2,Big_OP2_INV3,Big_OP2_LoINV,Big_OP3_HiINV,Big_OP3_INV2,Big_OP3_INV3,Big_OP3_LoINV,Small_HiOP_HiINV,Small_HiOP_INV2,Small_HiOP_INV3,Small_HiOP_LoINV,Small_LoOP_HiINV,Small_LoOP_INV2,Small_LoOP_INV3,Small_LoOP_LoINV,Small_OP2_HiINV,Small_OP2_INV2,Small_OP2_INV3,Small_OP2_LoINV,Small_OP3_HiINV,Small_OP3_INV2,Small_OP3_INV3,Small_OP3_LoINV
1963-07-31,1.08,0.95,-0.99,-1.3,-1.81,-1.39,2.36,-1.73,-0.45,2.18,-0.13,-0.36,-0.92,-0.61,0.72,-0.7,-0.47,-0.49,0.28,0.31,-1.17,-1.08,-1.1,-0.96,-0.9,-0.64,-1.76,-2.05,0.07,-1.94,-0.42,3.75
1963-08-31,5.72,6.88,7.01,4.61,5.93,6.08,2.25,7.35,6.61,4.05,5.1,7.25,6.5,4.83,5.77,4.9,7.01,3.61,4.34,5.15,0.86,5.52,1.68,6.54,9.71,5.05,2.36,4.77,4.09,3.23,3.32,8.43
1963-09-30,-0.38,-2.47,-2.1,-2.08,-3.48,-0.45,-4.01,0.78,3.65,-1.79,1.18,-1.77,-1.34,-1.99,-1.61,-3.2,-2.7,-2.51,-2.95,-3.67,-2.84,-1.6,0.58,-1.77,0.59,-2.29,-1.03,0.0,-2.47,-1.13,-0.38,1.26
1963-10-31,11.1,1.91,1.36,3.22,-1.02,2.12,0.46,0.97,-0.37,0.57,3.28,0.7,6.07,1.69,2.52,2.65,-0.47,2.32,2.76,4.67,0.31,3.96,-0.99,1.9,0.81,0.8,1.81,2.35,1.83,-1.15,2.42,0.34
1963-11-30,-3.9,-0.6,0.07,2.73,-0.32,-2.28,-0.37,-1.15,-1.33,-2.26,2.86,-2.45,-0.46,-0.96,-0.51,1.0,-2.61,-2.17,-2.77,0.67,-2.23,-3.31,1.44,-1.37,0.79,0.85,-1.29,-2.0,-3.76,0.58,-2.52,3.77
1963-12-31,1.09,2.99,2.63,2.04,6.54,2.86,5.36,0.99,1.07,1.98,0.58,3.82,0.97,3.34,3.37,3.98,1.64,0.73,1.02,-2.4,-1.58,-1.03,-0.87,-0.47,-1.4,1.4,0.37,0.05,-0.12,1.14,1.73,2.77
1964-01-31,2.78,2.16,2.6,4.18,-0.34,2.94,6.11,2.55,4.86,2.51,2.69,0.69,1.46,0.55,0.79,2.36,2.92,3.71,3.71,2.11,-1.53,2.34,6.4,4.03,-0.27,2.25,3.19,5.42,2.44,3.33,2.4,4.4
1964-02-29,2.18,1.72,3.63,3.9,2.1,1.81,0.88,2.46,0.9,3.11,0.76,0.97,0.85,-0.35,1.33,1.36,3.02,1.35,4.77,1.3,3.8,4.42,4.91,4.18,-0.16,3.28,0.65,1.03,1.1,2.49,0.38,-1.28
1964-03-31,1.55,1.67,0.3,3.61,1.32,4.88,1.01,5.34,0.18,2.4,-0.34,2.16,2.91,1.77,-0.03,4.6,0.95,3.87,1.73,8.53,2.87,3.1,6.57,6.23,2.58,4.87,5.04,4.98,1.49,5.84,5.3,0.14
1964-04-30,0.91,0.79,-0.63,-1.22,4.38,8.04,3.95,-3.16,1.3,0.65,0.66,-0.52,-1.54,-0.88,-0.88,-1.29,-2.95,-0.59,-0.89,-0.09,-1.87,-0.03,-1.34,-1.54,0.93,-1.74,-1.34,1.49,-0.89,-1.97,0.01,-4.64
1964-05-31,3.81,0.27,1.07,1.82,3.91,4.23,1.07,0.83,4.58,2.22,-0.14,-0.47,-0.59,0.67,1.37,1.44,-1.15,2.2,-0.43,10.29,-0.04,1.34,3.15,4.83,0.56,0.63,-0.27,0.88,1.27,0.05,-0.21,1.25
1964-06-30,0.52,1.84,1.39,-1.15,0.89,1.21,1.03,0.56,2.57,1.95,4.95,2.18,2.34,0.5,2.12,1.37,0.98,3.92,1.2,3.78,-0.23,1.49,4.81,0.98,3.01,0.09,2.82,4.45,2.78,2.02,-0.4,1.38
1964-07-31,-0.63,1.31,4.65,2.98,1.42,0.95,2.77,3.46,0.22,2.17,-0.69,3.42,2.33,3.15,2.74,4.84,2.38,2.68,0.84,3.23,0.56,2.3,3.25,4.35,5.13,5.39,0.3,2.99,2.74,0.87,5.31,1.49
1964-08-31,-2.65,-3.39,0.09,-1.23,-1.58,-0.97,-1.91,-0.01,0.22,-1.96,-1.2,1.07,-2.16,-1.14,-1.4,1.55,-0.84,5.6,-0.91,-3.88,1.12,-3.07,0.09,-1.58,-2.0,0.38,1.16,-1.75,-1.76,-0.28,-1.33,-0.71
1964-09-30,2.74,5.63,2.71,3.87,6.22,4.91,3.34,4.59,3.9,2.24,-0.1,1.51,4.93,2.99,4.81,0.79,2.47,2.76,0.91,4.66,2.11,2.01,4.4,6.11,1.41,2.64,2.87,2.23,4.9,2.19,3.84,1.52
1964-10-31,-0.73,-1.04,0.09,-0.03,0.98,0.59,3.99,1.68,1.08,2.08,-0.42,1.92,2.07,1.05,1.31,0.16,1.74,2.94,3.48,2.39,-0.13,5.32,2.0,0.24,1.67,2.0,-0.65,4.23,1.38,2.35,1.37,2.37
1964-11-30,-0.34,3.73,-0.42,2.06,0.57,-1.51,3.76,-0.49,2.21,0.65,-2.05,-0.13,-1.85,0.56,2.45,1.62,0.68,0.81,1.63,-1.1,1.93,-1.11,-1.72,-1.81,2.96,-1.8,0.41,0.44,-1.63,-1.41,0.63,1.44
1964-12-31,0.07,-0.58,2.26,0.82,0.91,-1.71,-2.06,-1.75,1.65,0.28,2.72,-0.57,-0.06,0.42,0.76,-1.12,-0.02,1.75,-0.36,-3.1,-1.15,-0.46,3.1,-2.81,0.29,-0.74,1.1,-1.79,-0.36,-1.07,-0.2,-3.15
1965-01-31,7.45,4.72,4.97,4.22,4.45,3.85,-0.3,5.63,2.63,0.12,0.65,4.05,5.59,4.65,4.33,5.47,7.69,5.47,5.7,9.53,5.75,6.66,4.52,7.54,7.5,6.21,4.24,5.84,5.59,6.65,6.5,2.98
1965-02-28,3.27,2.28,-0.24,-0.61,-2.55,0.72,-1.95,2.33,1.56,-2.34,0.92,1.02,1.28,1.48,0.87,2.48,4.47,3.16,3.81,6.58,4.72,4.68,4.12,2.98,1.99,2.56,3.69,5.03,5.81,3.69,3.0,4.12
1965-03-31,-1.53,-4.26,-0.31,-2.51,-0.44,-0.26,-3.95,-0.12,-1.65,-2.16,-1.4,-0.21,1.16,-1.61,0.07,0.82,-1.13,2.59,1.91,2.66,1.88,0.33,1.19,0.88,2.32,2.04,1.45,1.12,0.53,0.67,1.09,1.22
1965-04-30,4.9,3.02,6.13,1.46,1.85,1.7,2.57,3.73,7.5,0.46,3.11,3.06,6.52,1.93,3.06,0.79,3.21,3.58,4.76,4.2,8.48,7.8,5.38,2.65,5.49,4.85,0.93,3.49,6.08,3.96,6.45,4.22
1965-05-31,0.15,0.66,-2.55,2.26,1.75,-0.52,1.63,-1.15,-0.64,-0.01,1.56,-0.43,-3.48,-1.42,-0.41,-0.8,-0.32,-0.31,2.44,1.32,-2.54,0.59,-3.81,0.23,1.25,-1.17,-0.38,3.43,2.74,-2.21,-0.94,-2.07
1965-06-30,-5.78,-5.67,-5.0,-5.25,-6.9,-3.44,-2.76,-7.36,-4.68,-2.4,-4.08,-4.64,-7.19,-4.15,-4.93,-5.08,-9.61,-9.64,-8.19,-11.92,-11.25,-10.28,-9.44,-10.57,-10.1,-8.64,-7.5,-10.09,-11.22,-7.68,-8.83,-7.32
1965-07-31,2.48,1.52,2.76,0.84,5.57,3.44,3.67,1.6,-0.5,0.02,0.09,2.36,0.71,0.41,0.84,0.57,2.6,0.58,2.28,4.01,4.12,2.78,2.12,1.67,4.13,3.7,2.57,3.8,3.5,4.48,4.01,2.31
1965-08-31,6.43,2.96,5.57,2.69,3.67,2.78,1.94,2.69,1.17,0.29,1.67,2.12,4.4,2.33,1.29,1.03,7.46,4.31,6.24,7.07,3.68,4.09,4.84,6.61,8.21,3.84,5.0,4.01,3.99,3.67,5.39,6.89
1965-09-30,3.51,4.9,4.01,5.55,3.76,2.72,4.08,3.21,-1.04,3.73,1.24,4.63,4.01,2.55,2.46,0.78,2.7,1.7,2.89,7.09,1.94,4.48,8.42,4.61,8.9,3.85,5.28,2.16,3.98,4.24,6.15,5.42
1965-10-31,5.35,5.81,4.38,2.82,3.37,2.93,1.14,3.27,0.6,1.93,-1.49,1.94,2.31,2.13,3.02,1.77,7.38,4.32,7.43,10.74,9.88,3.81,7.52,7.69,11.38,4.91,5.73,6.81,7.22,2.44,5.32,10.37
1965-11-30,3.2,-4.07,1.6,1.11,0.77,3.1,-0.6,-0.92,3.15,0.73,-3.98,-2.48,1.53,2.24,-1.18,0.08,5.38,1.07,4.47,10.11,8.07,2.83,5.25,7.52,10.67,5.39,6.73,2.3,3.21,4.38,3.34,6.44
1965-12-31,-0.57,0.75,3.22,-0.59,4.7,1.16,1.62,1.22,1.93,0.88,-0.65,2.81,1.94,-0.06,2.3,0.57,2.74,5.44,1.46,5.99,5.76,5.22,13.57,4.32,4.34,3.21,0.65,4.59,5.27,4.25,7.41,-1.74
1966-01-31,2.21,-0.09,1.72,1.75,6.42,1.01,3.39,1.72,-4.98,-0.13,-0.81,-1.91,0.69,0.31,-1.48,-1.28,5.08,6.77,2.66,7.6,7.59,9.89,8.93,8.32,6.4,3.82,9.07,8.18,4.99,2.63,5.22,6.02
1966-02-28,2.24,-2.34,-1.03,-2.23,6.9,-2.55,-2.72,-2.82,-1.86,-2.05,-0.54,-3.95,-1.35,-2.2,-1.38,-3.92,3.97,1.96,2.03,5.73,5.53,4.18,14.29,7.2,5.7,0.6,1.18,0.83,3.84,0.45,0.44,7.98
1966-03-31,0.7,-5.16,2.39,-2.93,-5.73,-1.58,-4.17,-1.56,-3.04,-2.99,-4.43,-0.54,-0.36,-2.47,-2.94,0.33,-2.44,-5.26,-2.28,3.16,-8.12,-2.09,-4.6,-2.19,-3.04,-1.27,-1.44,0.05,-2.74,-4.28,1.94,-3.78
1966-04-30,4.02,-2.06,5.46,0.04,-0.54,0.15,3.02,2.75,3.9,3.16,1.8,1.9,4.12,2.5,-0.19,1.76,8.11,2.57,3.87,10.67,1.86,5.91,6.2,6.48,5.06,11.16,2.63,2.62,4.81,4.27,5.46,6.48
1966-05-31,-3.28,-6.25,-5.72,-5.15,-8.73,-5.35,-5.87,-6.18,-2.61,-5.01,-3.41,-5.49,-5.16,-4.66,-3.3,-2.18,-8.45,-9.8,-8.29,-14.34,-12.84,-11.22,-15.14,-12.78,-12.17,-8.0,-9.15,-9.71,-9.85,-9.12,-8.81,-12.73
1966-06-30,-0.98,-2.31,-2.03,-1.65,0.73,-2.24,-2.12,0.08,-0.49,-2.43,-0.18,0.52,-2.77,0.2,-1.27,-0.27,-0.65,-0.09,0.84,3.78,1.0,0.08,-3.06,0.36,0.09,0.76,0.06,0.33,-1.15,0.01,3.48,1.77
1966-07-31,-3.71,-0.55,-0.82,-1.38,-2.72,-1.29,-3.2,-0.03,-4.07,-0.23,0.55,0.49,-2.28,-0.44,0.13,-0.33,-2.62,-0.94,-2.17,-1.24,-1.93,-1.77,-2.15,-2.14,-1.87,0.54,-2.01,-0.87,-1.16,-0.88,-0.68,-1.54
1966-08-31,-9.76,-7.33,-7.75,-6.65,-9.36,-6.47,-3.11,-7.68,-8.96,-8.29,-6.77,-6.19,-6.99,-6.57,-7.15,-8.28,-11.18,-8.28,-10.08,-10.18,-13.03,-9.94,-10.34,-11.07,-11.26,-8.59,-10.68,-11.43,-11.51,-8.45,-9.62,-9.22
1966-09-30,-3.82,-3.41,-0.42,1.31,-2.0,1.26,0.72,-1.16,-1.65,0.89,0.53,0.49,-6.19,2.51,-1.32,2.02,-1.61,0.57,-1.6,-2.9,-1.97,-2.41,-2.12,-1.52,-1.72,-1.76,-2.19,-1.15,-1.27,-0.34,-2.64,-0.76
1966-10-31,1.84,4.06,1.23,4.83,7.36,9.04,4.08,5.28,2.85,8.61,4.88,9.11,0.84,5.57,3.92,4.62,-4.31,-1.04,-2.4,0.3,-5.05,-0.31,-1.87,-3.16,-3.18,3.98,0.93,-1.25,-2.01,-0.08,0.12,2.06
1966-11-30,10.6,1.99,3.67,-1.25,4.37,-1.47,1.11,0.68,5.01,-1.94,-2.44,-3.97,1.01,0.44,2.64,2.57,10.15,6.42,5.24,2.87,7.35,4.76,-0.65,4.53,5.6,0.29,1.54,2.23,7.23,4.74,1.73,0.77
1966-12-31,-2.38,-1.23,0.28,3.35,3.72,0.19,-1.96,0.27,0.17,3.95,2.68,0.15,2.6,0.34,0.09,1.71,5.31,3.42,-0.27,3.18,0.66,-0.03,1.12,1.4,4.53,1.43,2.12,2.47,6.48,-0.31,0.79,1.29
1967-01-31,8.34,8.11,9.01,5.21,11.28,6.54,6.89,11.69,9.08,6.99,7.01,4.65,13.59,3.67,7.71,5.21,20.8,14.64,20.25,14.68,15.44,13.8,20.46,19.41,21.01,14.43,18.03,18.67,16.23,15.12,15.16,9.68
1967-02-28,1.67,0.45,3.37,0.47,0.23,-0.37,0.62,-0.5,4.09,-1.44,0.59,-2.24,1.69,-0.33,1.5,0.83,3.92,6.59,2.34,6.85,4.02,7.43,2.59,5.38,1.34,1.36,-1.12,2.98,7.59,1.67,1.94,3.45
1967-03-31,6.58,1.81,5.26,4.16,3.96,3.4,2.87,4.78,7.18,3.4,3.62,4.15,7.12,1.66,3.56,1.39,5.34,6.72,6.35,7.2,6.82,3.07,8.73,4.76,8.29,6.59,8.19,8.25,9.43,7.18,4.48,3.2
1967-04-30,8.3,6.74,7.06,-0.56,3.54,0.92,7.03,3.05,4.92,4.54,1.26,0.27,4.23,4.18,3.97,2.16,5.31,3.53,6.4,4.65,6.04,2.19,-0.15,4.64,7.24,2.79,1.91,5.03,4.43,5.27,4.31,2.72
1967-05-31,-6.32,-3.96,-5.49,-0.36,-0.56,-4.97,-5.13,-2.35,-2.58,-4.76,-3.15,-1.88,-3.86,-4.07,-5.59,-4.05,-2.46,-3.03,0.07,-3.27,-2.1,-0.49,0.86,-1.83,-1.0,-3.27,-3.55,1.95,-0.14,-1.35,-1.89,0.4
