Date,Dec1,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Dec10
1963-07-31,0.37,0.59,-0.46,0.12,-0.4,0.55,0.84,-1.75,-2.49,-1.79
1963-08-31,6.55,8.38,4.21,4.93,4.75,4.85,5.96,7.23,6.02,6.5
1963-09-30,-0.69,-0.68,-0.14,0.04,-1.82,-2.84,-1.8,-2.51,-2.05,1.37
1963-10-31,14.11,5.27,4.0,2.16,1.16,3.83,3.21,2.83,0.52,0.68
1963-11-30,-5.96,-1.11,-0.18,1.9,-1.94,-0.22,-0.6,0.5,0.27,-1.17
1963-12-31,-0.23,2.82,3.78,1.86,3.1,5.13,3.23,0.46,-1.46,0.1
1964-01-31,2.15,0.21,4.3,3.71,2.43,3.89,2.8,1.66,-1.01,1.92
1964-02-29,0.78,3.58,4.15,1.25,1.96,0.33,1.56,4.21,3.94,1.7
1964-03-31,1.83,3.91,3.75,1.0,2.4,2.58,0.96,2.54,5.09,-0.59
1964-04-30,2.91,-0.21,-0.99,0.81,2.21,0.22,-0.44,-3.68,-1.06,0.76
1964-05-31,2.54,3.57,3.4,0.99,0.81,0.96,0.89,0.32,-0.61,3.89
1964-06-30,1.74,1.65,-0.02,2.55,2.73,-0.37,1.43,2.13,2.52,2.3
1964-07-31,3.04,2.52,-0.8,2.47,1.97,-0.84,5.15,2.68,1.79,0.51
1964-08-31,1.77,-1.3,-1.57,-0.82,-2.05,-3.21,0.34,-1.03,-1.52,0.17
1964-09-30,4.28,4.02,1.31,3.45,3.09,1.99,3.62,3.58,5.53,3.58
1964-10-31,0.32,1.41,0.29,-0.33,3.9,-1.18,1.46,-0.91,0.18,0.89
1964-11-30,1.92,-0.07,-1.42,3.07,1.49,-0.25,-1.68,0.9,0.75,1.47
1964-12-31,0.23,-1.05,1.36,-1.07,0.11,-0.38,1.61,0.76,1.88,1.78
1965-01-31,2.77,4.89,2.26,5.01,-0.02,6.1,4.83,5.02,6.77,3.14
1965-02-28,2.83,3.21,0.77,1.31,-2.41,1.98,-0.13,1.7,1.46,2.63
1965-03-31,-1.19,-0.64,-1.43,-1.85,-2.3,-0.98,0.33,-0.12,-3.55,-0.59
1965-04-30,5.39,2.53,3.97,2.17,1.79,4.86,5.82,3.97,4.14,7.78
