Date,Dec1,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Dec10
1963-07-31,-2.07,-0.15,-1.4,0.36,1.29,0.32,0.45,-0.44,0.54,0.95
1963-08-31,5.38,7.13,5.65,4.97,5.67,4.91,4.43,5.08,6.29,8.0
1963-09-30,-0.67,-1.66,-1.23,-0.82,-2.82,-2.79,-0.33,0.12,-0.88,-1.68
1963-10-31,2.79,2.15,1.13,0.77,0.82,0.35,3.46,5.19,9.04,4.87
1963-11-30,2.01,-1.0,-0.89,-1.27,-1.57,-0.74,1.73,-0.84,-5.08,-0.68
1963-12-31,2.51,1.56,2.31,3.89,1.15,3.11,2.2,2.3,0.89,1.56
1964-01-31,3.49,3.56,1.5,1.5,2.57,2.02,3.66,5.73,1.23,-2.78
1964-02-29,3.06,1.95,2.52,1.64,2.25,1.73,1.02,1.67,1.96,1.51
1964-03-31,2.34,5.64,5.08,2.21,2.53,0.59,0.26,2.4,0.62,2.07
1964-04-30,-2.41,-2.0,-0.61,1.16,1.35,0.88,1.24,-1.89,3.98,0.73
1964-05-31,1.75,1.01,0.17,1.98,2.51,0.4,0.46,3.16,3.07,2.66
1964-06-30,-0.27,0.6,1.24,2.41,0.62,2.0,3.03,1.01,1.13,0.88
1964-07-31,3.31,1.35,3.82,2.06,2.5,2.05,2.48,-0.06,2.08,0.04
1964-08-31,-0.72,-1.11,0.08,-0.45,-2.0,-0.65,-1.72,-2.85,-1.98,0.56
1964-09-30,4.0,2.37,4.02,3.32,2.73,2.0,3.38,2.2,3.48,6.04
1964-10-31,0.13,2.78,0.1,1.61,1.45,0.68,1.64,-0.88,2.9,-0.69
1964-11-30,1.67,0.56,0.36,-1.01,1.19,-0.29,1.88,0.18,1.21,-0.2
1964-12-31,0.15,-0.57,-1.54,-1.31,0.29,2.32,-0.85,-0.03,-0.15,1.72
1965-01-31,5.01,4.76,4.91,4.21,2.01,1.79,5.09,5.59,6.99,3.92
1965-02-28,-0.12,2.95,1.52,1.81,-1.0,-0.05,0.45,0.78,2.9,3.26
1965-03-31,-1.62,0.21,-0.55,-1.05,-2.1,-1.24,-1.04,0.62,-2.49,-1.91
1965-04-30,2.44,3.0,2.24,2.23,0.93,4.58,2.39,4.57,4.35,7.4
1965-05-31,1.52,-0.69,-0.27,-0.39,-0.55,-0.44,-0.03,-0.08,-0.41,-0.26
1965-06-30,-5.91,-7.25,-5.81,-4.35,-3.01,-4.19,-4.68,-5.64,-6.39,-6.93
1965-07-31,1.35,2.05,1.69,1.02,1.9,2.57,0.82,0.55,1.63,4.3
1965-08-31,2.58,3.52,2.1,1.61,2.98,3.04,2.84,3.01,4.91,5.24
1965-09-30,3.85,4.92,3.81,4.12,2.88,3.38,1.87,2.68,4.06,2.83
1965-10-31,4.0,3.15,2.05,4.28,2.23,2.38,0.87,2.76,3.41,4.56
1965-11-30,1.13,1.32,-1.6,-1.46,2.12,-0.19,-2.06,1.04,5.21,1.87
1965-12-31,1.31,0.71,1.75,0.93,0.27,1.48,1.58,0.79,2.82,-0.6
1966-01-31,1.54,4.49,-1.7,-0.05,1.41,1.0,0.24,0.26,2.4,2.58
1966-02-28,-1.78,-1.11,-3.55,-2.35,-1.88,-1.34,-0.54,-1.52,1.54,3.77
1966-03-31,-3.89,-1.07,-0.25,-3.58,-3.21,-2.47,-2.39,-1.67,-1.29,-0.08
1966-04-30,0.7,3.49,2.05,-0.09,2.42,1.62,3.17,1.99,4.6,5.51
1966-05-31,-5.79,-6.9,-5.32,-5.72,-5.37,-5.06,-4.36,-4.19,-5.18,-4.37
1966-06-30,-0.87,-0.52,0.38,-2.13,-1.71,-2.48,-0.37,-1.27,-0.04,-1.53
1966-07-31,-1.91,0.11,-0.04,-0.62,-1.03,-0.46,-0.77,-3.15,-2.71,-3.38
1966-08-31,-9.43,-6.61,-6.78,-6.42,-7.76,-7.27,-7.56,-5.59,-7.86,-11.21
1966-09-30,-0.88,0.68,0.32,1.27,-0.23,1.61,-0.46,-4.59,-3.21,-2.59
1966-10-31,0.87,6.14,7.91,8.34,6.74,3.45,2.83,0.07,0.54,2.55
1966-11-30,2.1,-0.6,-2.58,-0.54,-0.79,1.86,2.51,3.72,5.16,10.62
1966-12-31,2.83,1.67,-0.06,1.18,-0.22,1.07,0.64,-0.92,2.7,-2.58
1967-01-31,11.72,7.76,5.19,5.94,7.91,6.47,9.19,10.94,10.84,10.33
1967-02-28,3.51,-1.35,-1.41,0.08,-0.63,0.54,3.38,0.54,2.34,3.08
1967-03-31,3.91,3.11,4.95,2.83,2.95,5.13,4.0,7.25,5.0,5.72
1967-04-30,1.77,2.71,0.57,2.1,3.98,1.84,7.02,8.06,4.44,7.46
1967-05-31,-0.33,-3.61,-1.83,-5.43,-3.58,-4.14,-5.42,-5.0,-2.9,-5.34
1967-06-30,4.26,1.94,1.1,2.67,1.36,1.38,1.58,2.93,4.57,4.55
1967-07-31,8.34,8.27,5.29,-1.95,5.79,9.09,4.09,4.01,4.31,4.86
1967-08-31,0.18,-0.27,-1.04,-0.83,-1.83,0.15,-0.11,-0.5,-1.12,-1.64
1967-09-30,2.29,3.46,3.31,2.05,1.8,2.97,4.75,3.74,5.33,3.08
1967-10-31,-5.06,-5.18,-4.42,-2.96,-4.21,-2.94,-2.32,-3.91,2.2,1.5
1967-11-30,-0.81,-1.06,-0.13,0.6,2.19,0.69,0.54,-0.31,2.65,1.36
1967-12-31,4.65,2.99,4.02,2.54,2.9,1.82,3.53,3.06,3.21,3.33
1968-01-31,3.32,-2.45,-0.09,0.56,-3.97,-3.99,-5.34,-4.59,-7.08,-9.75
1968-02-29,-3.79,-1.51,-2.08,-2.72,-2.71,-3.32,-3.12,-4.72,-3.41,-5.26
1968-03-31,-0.99,-1.01,-1.3,0.2,0.5,0.78,1.26,-1.19,4.06,2.28
1968-04-30,11.09,8.29,5.6,4.78,8.27,7.7,11.64,10.66,11.2,13.57
1968-05-31,4.4,1.53,0.45,0.12,2.13,-0.83,3.41,3.61,4.53,4.87
1968-06-30,1.03,1.95,2.75,3.47,1.04,2.26,-0.31,0.2,-0.22,-1.53
1968-07-31,-0.45,-1.84,-0.68,-1.96,1.21,-3.72,0.6,-4.52,-2.51,-7.12
1968-08-31,3.48,2.17,1.75,1.12,2.03,0.18,1.25,1.7,2.68,1.17
1968-09-30,7.64,6.43,5.77,3.62,1.55,4.09,5.69,2.88,4.09,5.52
1968-10-31,2.79,3.42,1.94,0.79,1.18,3.5,1.98,-3.24,1.05,-1.78
1968-11-30,4.38,1.55,5.89,6.18,5.61,6.04,7.47,7.71,4.56,9.05
1968-12-31,0.73,-2.88,-2.64,-4.49,-4.12,-3.61,-2.84,-5.3,-4.24,-3.19
1969-01-31,-0.78,-1.56,-0.39,0.78,1.0,-0.16,-1.06,-2.13,-2.47,-2.73
1969-02-28,-6.68,-3.62,-6.2,-4.58,-4.23,-5.49,-5.43,-3.77,-4.98,-8.75
1969-03-31,2.44,2.98,4.03,1.62,4.04,3.44,6.22,4.26,2.66,1.78
1969-04-30,2.19,-0.29,1.26,5.16,1.27,2.18,1.3,2.71,1.99,1.81
1969-05-31,-1.49,0.47,0.73,0.96,1.77,0.06,2.36,-1.34,0.08,-2.08
1969-06-30,-11.46,-6.38,-7.92,-5.21,-7.13,-6.06,-8.58,-0.46,-7.16,-8.56
1969-07-31,-6.04,-6.44,-5.7,-5.6,-7.76,-5.96,-5.39,-5.36,-7.25,-10.48
1969-08-31,2.16,5.31,2.46,3.19,5.74,5.38,6.15,5.8,8.19,9.15
1969-09-30,-1.62,-4.7,-2.29,-2.85,-3.75,-1.34,-3.69,-0.6,-1.64,-3.14
1969-10-31,7.48,4.22,4.75,5.39,3.87,6.61,5.8,5.28,6.06,10.3
1969-11-30,-5.4,-4.29,-1.49,-4.8,-4.59,-3.34,-3.06,-1.77,-2.67,-3.97
