Date,Dec1,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Dec10
1963-07-31,-0.95,0.58,1.38,-1.36,-1.0,0.08,-0.47,0.32,-1.21,1.1
1963-08-31,5.09,4.66,5.82,7.17,5.42,6.48,6.92,4.43,6.62,6.42
1963-09-30,-0.69,-3.11,-0.85,1.51,0.96,-3.81,-1.77,0.22,-1.92,-2.78
1963-10-31,1.74,4.16,8.47,2.01,5.64,4.88,2.72,2.94,0.24,1.56
1963-11-30,0.17,0.41,-4.88,-0.48,-1.63,-0.39,-0.9,3.54,-1.14,-0.75
1963-12-31,1.31,4.95,1.68,0.11,2.66,4.03,2.95,1.56,1.62,0.75
1964-01-31,2.94,5.84,1.54,3.56,3.65,0.79,3.01,3.02,-0.12,0.73
1964-02-29,2.57,1.38,0.78,2.44,4.08,0.47,0.58,0.37,1.22,0.66
1964-03-31,1.79,1.98,1.19,1.13,3.14,2.41,1.11,-0.18,-0.02,2.29
1964-04-30,-0.44,1.63,3.25,-0.74,-2.38,-2.02,0.01,1.81,1.02,-0.72
1964-05-31,0.48,1.91,3.27,1.14,3.45,0.79,-0.04,0.62,0.08,1.62
1964-06-30,0.9,0.66,1.49,2.55,0.77,0.46,1.25,4.24,2.18,0.55
1964-07-31,2.39,1.92,3.1,4.93,-0.94,-0.28,2.61,2.75,0.16,1.54
1964-08-31,-1.04,-1.48,-0.68,0.84,-3.54,-1.48,-0.8,0.05,-1.63,-1.33
1964-09-30,3.62,3.78,3.54,3.66,1.38,0.53,3.83,4.17,5.75,2.68
1964-10-31,0.81,1.45,1.44,0.08,-1.63,-0.46,2.3,1.11,-1.12,2.03
1964-11-30,1.61,0.44,2.32,-2.04,-0.38,-1.14,1.06,0.84,-0.84,0.47
1964-12-31,1.08,-0.77,-0.24,1.97,-0.13,2.8,-1.19,0.31,0.7,0.65
1965-01-31,4.36,4.91,2.97,3.19,7.93,1.92,4.87,4.43,5.37,5.83
