Date,Dec1,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Dec10
1963-07-31,-1.37,0.05,-1.47,2.17,-0.87,1.0,-1.06,-1.04,-0.26,0.94
1963-08-31,5.57,4.98,5.87,3.75,5.44,5.17,5.58,5.38,6.0,6.06
1963-09-30,-2.97,-2.01,-0.69,-2.53,2.12,-1.79,-2.26,-1.6,-2.27,-0.95
1963-10-31,0.79,1.25,0.68,0.01,3.24,1.0,0.8,3.7,3.26,9.1
1963-11-30,0.23,-1.85,-1.76,-0.69,2.03,-0.48,-0.7,1.15,0.28,-3.87
1963-12-31,1.91,0.98,3.21,4.12,0.34,3.27,2.82,2.45,3.13,1.2
1964-01-31,1.86,2.39,2.32,5.1,3.11,1.09,0.94,2.05,2.0,3.3
1964-02-29,3.73,1.68,2.1,1.56,0.83,1.62,1.41,1.75,2.17,2.54
1964-03-31,2.8,2.56,4.57,2.21,0.1,0.81,2.56,0.95,2.46,1.88
1964-04-30,0.01,5.5,-0.62,2.44,0.99,-0.82,0.22,-2.0,-0.54,0.89
1964-05-31,2.28,0.76,2.6,2.07,0.83,0.44,1.03,0.21,1.5,3.44
1964-06-30,2.78,1.07,1.87,0.53,4.66,2.63,1.56,0.1,1.41,0.61
1964-07-31,0.66,2.51,1.85,2.22,-0.53,3.45,3.3,3.06,2.44,2.26
1964-08-31,-2.39,-0.83,-0.84,-1.88,-0.95,-0.02,-0.85,-1.0,-1.17,-1.38
1964-09-30,4.82,3.73,4.62,3.4,0.66,2.93,2.68,3.94,4.0,2.56
1964-10-31,0.78,3.81,0.8,2.6,0.17,-0.16,2.34,1.46,-0.11,-0.47
1964-11-30,-3.29,1.4,1.01,1.05,-1.04,0.72,1.59,0.61,2.28,-1.07
1964-12-31,-0.93,-0.93,-0.52,-1.42,2.43,0.44,-0.23,0.88,1.07,1.0
1965-01-31,7.5,4.22,3.64,-0.08,1.19,3.94,5.34,4.52,4.87,6.22
1965-02-28,1.39,2.91,-0.29,-2.38,1.03,1.56,1.44,1.36,0.14,1.51
1965-03-31,-1.16,-1.26,-0.17,-2.7,-1.45,0.08,0.09,-0.76,-2.3,-0.64
1965-04-30,3.7,4.19,2.36,1.54,4.44,1.86,2.42,3.88,3.33,5.47
1965-05-31,-4.46,0.95,1.99,-0.19,1.17,-0.91,-0.53,-1.5,0.69,-1.43
1965-06-30,-8.08,-7.37,-4.71,-2.58,-4.39,-4.5,-5.15,-5.2,-4.86,-5.96
1965-07-31,4.62,4.96,2.59,-0.67,2.54,2.64,1.32,0.32,1.98,2.08
1965-08-31,3.89,0.98,2.13,1.4,2.55,2.63,2.52,2.28,7.29,3.78
1965-09-30,3.84,4.23,4.1,1.62,2.4,4.09,2.85,3.16,4.1,4.16
1965-10-31,4.46,3.09,2.16,0.57,1.99,1.32,2.42,3.13,6.39,4.34
1965-11-30,3.63,1.87,0.45,-1.97,0.58,-0.77,0.69,2.36,1.61,-0.42
1965-12-31,7.49,0.89,1.4,0.66,2.99,1.04,1.21,0.32,2.18,0.03
1966-01-31,6.95,3.46,3.12,-1.29,0.85,-1.43,0.19,1.08,2.29,0.85
1966-02-28,4.86,-3.03,-1.83,-0.76,-1.1,-3.8,-2.02,-0.66,-0.08,-0.31
1966-03-31,-4.33,-2.69,-3.1,-3.81,-1.44,-1.18,-2.37,-0.71,0.01,-1.7
1966-04-30,2.23,2.19,2.42,1.89,1.98,3.69,1.65,4.0,4.24,0.8
1966-05-31,-10.68,-6.03,-5.99,-4.41,-5.63,-4.8,-3.39,-6.19,-5.12,-4.31
1966-06-30,0.88,-1.21,-1.77,-1.25,-0.51,0.75,-1.14,-1.86,-1.1,-1.71
1966-07-31,-2.43,-1.02,-1.0,-1.67,-0.51,-0.67,-1.58,-0.23,-2.26,-1.35
1966-08-31,-11.2,-7.37,-5.95,-6.08,-8.6,-6.21,-6.57,-8.16,-8.45,-8.13
1966-09-30,-1.95,-0.84,1.62,-1.47,1.58,1.54,-2.44,-1.78,-1.31,-1.7
1966-10-31,0.27,3.89,9.36,6.08,7.52,5.45,2.68,2.64,2.87,1.32
1966-11-30,7.53,0.61,-1.57,-1.73,-0.68,-0.51,1.41,3.01,4.68,5.33
1966-12-31,0.74,1.61,0.59,-0.77,2.33,0.19,0.9,2.27,-0.95,-0.38
1967-01-31,15.42,9.42,6.51,7.14,6.89,7.66,7.68,8.19,8.33,9.39
1967-02-28,1.71,0.21,-0.2,-1.07,0.26,0.03,0.06,2.07,1.32,3.08
1967-03-31,4.75,4.85,3.38,3.9,4.38,3.35,4.34,4.24,5.04,5.28
1967-04-30,4.18,2.73,1.4,4.03,2.95,2.58,4.0,3.85,6.03,7.52
1967-05-31,-1.46,-2.56,-4.36,-4.01,-2.65,-2.93,-4.38,-5.12,-5.42,-5.11
1967-06-30,7.88,3.01,2.64,1.69,1.44,1.95,1.5,0.7,2.59,2.6
1967-07-31,8.49,7.56,0.56,5.98,5.11,5.89,3.42,8.89,6.53,2.89
1967-08-31,-0.62,-0.22,-0.63,-1.03,-0.88,-0.91,0.15,-0.9,-0.02,-1.35
1967-09-30,3.64,5.24,3.4,2.18,1.24,2.71,1.99,2.52,5.62,4.61
1967-10-31,-1.58,-4.33,-3.27,-2.23,-3.63,-5.49,-5.21,-2.72,-4.0,2.27
1967-11-30,-1.2,0.45,-0.02,0.73,2.21,1.19,0.95,-0.89,-1.17,2.5
1967-12-31,8.24,3.62,1.85,3.5,3.31,4.27,3.81,1.37,3.17,2.72
1968-01-31,-0.32,0.38,-0.86,-2.57,-2.69,-4.31,-2.31,-5.68,-5.05,-7.75
