"","date","mkt_excess","smb","hml","rf"
"1",1960-01-01,-0.0698,0.0212,0.0265,0.0033
"2",1960-02-01,0.0116,0.006,-0.0197,0.0029
"3",1960-03-01,-0.0163,-0.0055,-0.0275,0.0035
"4",1960-04-01,-0.0171,0.0022,-0.0214,0.0019
"5",1960-05-01,0.0312,0.0129,-0.0373,0.0027
"6",1960-06-01,0.0208,-0.0028,-0.0027,0.0024
"7",1960-07-01,-0.0237,-0.0052,0.0208,0.0013
"8",1960-08-01,0.03,0.007,-0.0022,0.0017
"9",1960-09-01,-0.06,-0.0113,0.0166,0.0016
"10",1960-10-01,-0.0071,-0.0403,0.0275,0.0022
"11",1960-11-01,0.0469,0.0036,-0.0237,0.0013
"12",1960-12-01,0.0473,-0.0159,-0.0076,0.0016
"13",1961-01-01,0.062,0.0063,0.0362,0.0019
"14",1961-02-01,0.0357,0.0388,-0.0059,0.0014
"15",1961-03-01,0.0289,0.0323,-0.0083,0.002
"16",1961-04-01,0.0029,9e-04,0.0209,0.0017
"17",1961-05-01,0.024,0.0196,0.0044,0.0018
"18",1961-06-01,-0.0308,-0.025,-0.0012,0.002
"19",1961-07-01,0.0283,-0.0193,-8e-04,0.0018
"20",1961-08-01,0.0257,-0.0171,-0.0029,0.0014
"21",1961-09-01,-0.0215,-0.0107,-0.0061,0.0017
"22",1961-10-01,0.0258,-0.0165,0.0014,0.0019
"23",1961-11-01,0.0445,0.0126,-0.012,0.0015
"24",1961-12-01,-0.0017,-0.0086,0.018,0.0019
"25",1962-01-01,-0.0387,0.0177,0.0511,0.0024
"26",1962-02-01,0.0181,-0.0117,0.0086,0.002
"27",1962-03-01,-0.0068,0.0066,-0.0159,0.002
"28",1962-04-01,-0.0659,-0.008,0.0016,0.0022
"29",1962-05-01,-0.0866,-0.0313,0.0276,0.0024
"30",1962-06-01,-0.085,-0.0044,0.0242,0.002
"31",1962-07-01,0.0627,0.0152,-0.0337,0.0027
"32",1962-08-01,0.0213,0.0122,-0.0112,0.0023
"33",1962-09-01,-0.0522,-0.024,0.0133,0.0021
"34",1962-10-01,-5e-04,-0.0395,0.013,0.0026
"35",1962-11-01,0.1089,0.025,0.0085,0.002
"36",1962-12-01,0.0101,-0.0376,0.0032,0.0023
"37",1963-01-01,0.0494,0.0301,0.0224,0.0025
"38",1963-02-01,-0.024,0.0046,0.0215,0.0023
"39",1963-03-01,0.0308,-0.0258,0.021,0.0023
"40",1963-04-01,0.0451,-0.0126,0.01,0.0025
"41",1963-05-01,0.0176,0.0108,0.0255,0.0024
"42",1963-06-01,-0.02,-0.0032,0.0065,0.0023
"43",1963-07-01,-0.0039,-0.0057,-0.0084,0.0027
"44",1963-08-01,0.0508,-0.0095,0.0172,0.0025
"45",1963-09-01,-0.0157,-0.0025,-2e-04,0.0027
"46",1963-10-01,0.0254,-0.0057,-3e-04,0.0029
"47",1963-11-01,-0.0086,-0.0116,0.0178,0.0027
"48",1963-12-01,0.0183,-0.0196,-0.0021,0.0029
"49",1964-01-01,0.0224,-0.0024,0.0158,0.003
"50",1964-02-01,0.0155,0.0011,0.0277,0.0026
"51",1964-03-01,0.0141,0.0095,0.033,0.0031
"52",1964-04-01,0.001,-0.0135,-0.0056,0.0029
"53",1964-05-01,0.0141,-0.0084,0.0182,0.0026
"54",1964-06-01,0.0127,-0.0023,0.0069,0.003
"55",1964-07-01,0.0174,0.002,0.0079,0.003
"56",1964-08-01,-0.0144,3e-04,7e-04,0.0028
"57",1964-09-01,0.0269,-0.0062,0.0172,0.0028
"58",1964-10-01,0.006,0.005,0.0108,0.0029
"59",1964-11-01,-1e-04,0.0068,-0.0204,0.0029
"60",1964-12-01,4e-04,-0.0027,-0.0243,0.0031
"61",1965-01-01,0.0354,0.0253,0.0036,0.0028
"62",1965-02-01,0.0044,0.0332,0.0022,0.003
"63",1965-03-01,-0.0134,0.0181,0.0115,0.0036
"64",1965-04-01,0.0311,0.0111,0.0073,0.0031
"65",1965-05-01,-0.0078,5e-04,-0.0155,0.0031
"66",1965-06-01,-0.0551,-0.0407,0.0023,0.0035
"67",1965-07-01,0.0144,0.0086,0.0219,0.0031
"68",1965-08-01,0.0273,0.0285,-0.0098,0.0033
"69",1965-09-01,0.0286,0.0063,-0.0014,0.0031
"70",1965-10-01,0.026,0.0252,0.0155,0.0031
"71",1965-11-01,-3e-04,0.0469,0.0016,0.0035
"72",1965-12-01,0.0101,0.0207,0.0215,0.0033
"73",1966-01-01,0.0072,0.0402,0.0327,0.0038
"74",1966-02-01,-0.0121,0.0444,0.0038,0.0035
"75",1966-03-01,-0.0251,0.0086,-0.0213,0.0038
"76",1966-04-01,0.0213,0.0344,-0.0036,0.0034
"77",1966-05-01,-0.0567,-0.046,-0.016,0.0041
"78",1966-06-01,-0.0144,0.0102,0.0049,0.0038
"79",1966-07-01,-0.0163,-0.0034,0.0091,0.0035
"80",1966-08-01,-0.0794,-0.0327,0.0051,0.0041
"81",1966-09-01,-0.0106,-0.0099,0.0047,0.004
"82",1966-10-01,0.0386,-0.0656,0.0268,0.0045
"83",1966-11-01,0.0138,0.0416,-0.0474,0.004
"84",1966-12-01,0.0013,0.0199,-0.0107,0.004
"85",1967-01-01,0.0815,0.0823,0.0222,0.0043
"86",1967-02-01,0.0077,0.0333,-0.0225,0.0036
"87",1967-03-01,0.0399,0.0154,0.0041,0.0039
"88",1967-04-01,0.0389,0.0043,-0.0227,0.0032
"89",1967-05-01,-0.0432,0.0209,0.0084,0.0033
"90",1967-06-01,0.0242,0.0588,0.0078,0.0027
"91",1967-07-01,0.0458,0.0319,0.0278,0.0032
