yyyymm,real_rate,term_premium,default_premium,inflation
191302,,,,0.0
191303,,,,0.0
191304,,,,0.0
191305,,,,-0.0102040816
191306,,,,0.0103092784
191307,,,,0.0102040816
191308,,,,0.0
191309,,,,0.0101010101
191310,,,,0.0
191311,,,,0.01
191312,,,,-0.0099009901
191401,,,,0.0
191402,,,,-0.01
191403,,,,0.0
191404,,,,-0.0101010101
191405,,,,0.0102040816
191406,,,,0.0
191407,,,,0.0101010101
191408,,,,0.02
191409,,,,0.0
191410,,,,-0.0098039216
191411,,,,0.0099009901
191412,,,,-0.0098039216
191501,,,,0.0
191502,,,,-0.0099009901
191503,,,,-0.01
191504,,,,0.0101010101
191505,,,,0.01
191506,,,,0.0
191507,,,,0.0
191508,,,,0.0
191509,,,,0.0
191510,,,,0.0099009901
191511,,,,0.0098039216
191512,,,,0.0
191601,,,,0.0097087379
191602,,,,0.0
191603,,,,0.0096153846
191604,,,,0.0095238095
191605,,,,0.0094339623
191606,,,,0.0093457944
191607,,,,0.0
191608,,,,0.0092592593
191609,,,,0.0183486239
191610,,,,0.018018018
191611,,,,0.017699115
191612,,,,0.0086956522
191701,,,,0.0086206897
191702,,,,0.0256410256
191703,,,,0.0
191704,,,,0.05
191705,,,,0.0158730159
191706,,,,0.015625
191707,,,,-0.0153846154
191708,,,,0.015625
191709,,,,0.0230769231
191710,,,,0.015037594
191711,,,,0.0
191712,,,,0.0148148148
191801,,,,0.0218978102
191802,,,,0.0071428571
191803,,,,-0.0070921986
191804,,,,0.0142857143
191805,,,,0.0211267606
191806,,,,0.0137931034
191807,,,,0.0272108844
191808,,,,0.0198675497
191809,,,,0.0194805195
191810,,,,0.0191082803
191811,,,,0.01875
191812,,,,0.0122699387
191901,,,0.0177,0.0
191902,,,0.018499999999999996,-0.0181818182
191903,,,0.01759999999999999,0.012345679
191904,,,0.017900000000000006,0.0182926829
191905,,,0.017,0.0119760479
191906,,,0.016400000000000005,0.0
191907,,,0.0162,0.0295857988
191908,,,0.015700000000000006,0.0172413793
191909,,,0.0167,0.0056497175
191910,,,0.01800000000000001,0.0168539326
191911,,,0.018799999999999997,0.0220994475
191912,,,0.02040000000000001,0.0216216216
192001,0.023835978799999998,0.004299999999999998,0.02029999999999999,0.0211640212
192002,0.034637305699999996,0.005500000000000005,0.0208,0.0103626943
192003,0.0372435897,0.0034000000000000002,0.02049999999999999,0.0102564103
192004,0.022043147199999998,0.00030000000000000165,0.021299999999999993,0.0304568528
192005,0.040221674900000004,0.0008000000000000021,0.021400000000000002,0.0147783251
192006,0.042936893200000006,-0.0021000000000000046,0.020100000000000007,0.0145631068
192007,0.062884689,-0.0023999999999999994,0.0218,-0.004784689
192008,0.0823384615,-0.0015999999999999973,0.020900000000000002,-0.0240384615
192009,0.0728783251,-0.003799999999999998,0.019200000000000002,-0.0147783251
192010,0.0625,-0.0067000000000000046,0.0194,-0.005
192011,0.06252512560000001,-0.005400000000000002,0.021300000000000006,-0.0050251256
192012,0.0790020202,-0.004799999999999999,0.022999999999999993,-0.0202020202
192101,0.0773185567,-0.004400000000000001,0.023600000000000003,-0.0206185567
192102,0.08457894739999999,-0.0001999999999999988,0.023399999999999997,-0.0315789474
192103,0.0592347826,-0.0011000000000000038,0.024700000000000007,-0.0054347826
192104,0.0629289617,0.0004000000000000045,0.0247,-0.0109289617
192105,0.0736994475,0.000899999999999998,0.024099999999999996,-0.0220994475
192106,0.0555497175,0.002799999999999997,0.023799999999999995,-0.0056497175
192107,0.0403181818,0.006600000000000002,0.023600000000000003,0.0056818182
192108,0.0475,0.004700000000000003,0.025199999999999993,0.0
192109,0.058799435,0.003700000000000002,0.024100000000000003,-0.011299435
192110,0.0421,0.006200000000000004,0.025,0.0
192111,0.046014285700000004,0.006099999999999994,0.022799999999999994,-0.0057142857
192112,0.044747126400000004,0.005699999999999997,0.0211,-0.0057471264
192201,0.0621213873,0.005499999999999998,0.023599999999999996,-0.0231213873
192202,0.0381,0.006899999999999996,0.022599999999999995,0.0
192203,0.0473343195,0.008600000000000003,0.022199999999999998,-0.0118343195
192204,0.0321,0.010700000000000001,0.019900000000000008,0.0
192205,0.0325,0.010099999999999998,0.017600000000000005,0.0
192206,0.0325,0.009899999999999999,0.0189,0.0
192207,0.026011976,0.009399999999999999,0.0189,0.005988024
192208,0.0432047619,0.009899999999999999,0.018900000000000007,-0.0119047619
192209,0.0334,0.0085,0.018200000000000008,0.0
192210,0.031075903600000003,0.0058999999999999955,0.018099999999999998,0.0060240964
192211,0.030611976,0.006699999999999998,0.0189,0.005988024
192212,0.030547618999999998,0.0067000000000000046,0.0194,0.005952381
192301,0.0425171598,0.006600000000000002,0.0194,-0.0059171598
192302,0.0365,0.0068000000000000005,0.018999999999999996,0.0
192303,0.0412,0.002599999999999998,0.019600000000000006,0.0
192304,0.035347619000000004,0.002599999999999998,0.019499999999999997,0.005952381
192305,0.0395,0.004200000000000002,0.0201,0.0
192306,0.032482840199999995,0.0050000000000000044,0.0206,0.0059171598
192307,0.027335294100000004,0.004299999999999998,0.022000000000000006,0.0117647059
192308,0.044413953500000006,0.004899999999999995,0.023000000000000007,-0.0058139535
192309,0.0342520468,0.003500000000000003,0.022600000000000002,0.0058479532
192310,0.036386046500000005,0.001799999999999996,0.0235,0.0058139535
192311,0.0394,0.004300000000000005,0.023099999999999996,0.0
192312,0.0388,0.004699999999999996,0.022900000000000004,0.0
192401,0.0376,0.005399999999999995,0.021500000000000005,0.0
192402,0.0411803468,0.007399999999999997,0.020500000000000004,-0.0057803468
192403,0.041513953500000006,0.007099999999999995,0.019800000000000005,-0.0058139535
192404,0.039647953199999995,0.0085,0.019500000000000003,-0.0058479532
192405,0.0229,0.018600000000000002,0.019299999999999998,0.0
192406,0.0244,0.0154,0.018299999999999997,0.0
192407,0.013317647099999998,0.0202,0.017199999999999993,0.0058823529
192408,0.0248479532,0.020100000000000003,0.0174,-0.0058479532
192409,0.015517647099999999,0.0178,0.017799999999999996,0.0058823529
192410,0.018252046799999998,0.014599999999999998,0.016999999999999994,0.0058479532
192411,0.0258,0.0132,0.016,0.0
192412,0.0198860465,0.013900000000000003,0.015100000000000002,0.0058139535
192501,0.0261,0.013500000000000002,0.014899999999999997,0.0
192502,0.031980346800000004,0.0133,0.014100000000000001,-0.0057803468
192503,0.0219860465,0.011800000000000005,0.014500000000000006,0.0058139535
192504,0.0335803468,0.011500000000000003,0.015400000000000004,-0.0057803468
192505,0.0214860465,0.011399999999999997,0.014699999999999998,0.0058139535
192506,0.017039306400000002,0.009300000000000003,0.013499999999999998,0.0115606936
192507,0.0191714286,0.007300000000000004,0.0133,0.0114285714
192508,0.0301,0.008400000000000001,0.013399999999999995,0.0
192509,0.0317,0.0068000000000000005,0.0133,0.0
192510,0.0353,0.0029,0.013199999999999996,0.0
192511,0.0195508475,0.0014000000000000054,0.0133,0.0169491525
192512,0.0406555556,0.0029,0.012999999999999998,-0.0055555556
192601,0.0349,0.0025000000000000022,0.012700000000000003,0.0
192602,0.0318,0.005399999999999995,0.012499999999999997,0.0
192603,0.036986592199999994,0.005700000000000004,0.0126,-0.0055865922
192604,0.0251820225,0.005999999999999998,0.012400000000000001,0.0056179775
192605,0.037286592199999996,0.005200000000000003,0.011499999999999996,-0.0055865922
192606,0.0349179775,0.0075,0.010800000000000004,-0.0056179775
192607,0.042399435,0.005899999999999999,0.010799999999999997,-0.011299435
192608,0.0384142857,0.0046,0.0109,-0.0057142857
192609,0.0284528736,0.0029999999999999957,0.010700000000000001,0.0057471264
192610,0.030085714299999997,0.000900000000000005,0.010999999999999996,0.0057142857
192611,0.0278181818,0.0022999999999999965,0.0109,0.0056818182
192612,0.0307,0.004699999999999999,0.010000000000000002,0.0
192701,0.043599435000000006,0.002799999999999997,0.009499999999999995,-0.011299435
192702,0.0386142857,0.001800000000000003,0.0092,-0.0057142857
192703,0.0377471264,0.0010999999999999968,0.0092,-0.0057471264
192704,0.0339,-0.0005999999999999964,0.009000000000000001,0.0
192705,0.027519653200000004,-0.0006000000000000033,0.009300000000000003,0.0057803468
192706,0.019205747100000004,0.0026999999999999975,0.0097,0.0114942529
192707,0.0466454545,0.003700000000000002,0.009500000000000001,-0.0170454545
192708,0.0327803468,0.005899999999999999,0.0092,-0.0057803468
192709,0.0209860465,0.006200000000000001,0.008799999999999995,0.0058139535
192710,0.025019653200000002,0.0017000000000000001,0.0087,0.0057803468
192711,0.0361471264,0.0016000000000000007,0.008599999999999997,-0.0057471264
192712,0.0317,-9.999999999999593e-05,0.008599999999999997,0.0
192801,0.0331,-0.0010000000000000009,0.008899999999999998,0.0
192802,0.0448606936,-0.0015000000000000013,0.0087,-0.0115606936
192803,0.0327,-0.0010000000000000009,0.008599999999999997,0.0
192804,0.0362,-0.004300000000000005,0.0087,0.0
192805,0.0331520468,-0.0063,0.009299999999999996,0.0058479532
192806,0.045013953499999995,-0.006600000000000002,0.009800000000000003,-0.0058139535
192807,0.0412,-0.0068000000000000005,0.0097,0.0
