ym,houst
195901,1657
195902,1667
195903,1620
195904,1590
195905,1498
195906,1503
195907,1547
195908,1430
195909,1540
195910,1355
195911,1416
195912,1601
196001,1460
196002,1503
196003,1109
196004,1289
196005,1271
196006,1247
196007,1197
196008,1344
196009,1097
196010,1246
196011,1246
196012,1063
196101,1183
196102,1226
196103,1312
196104,1166
196105,1228
196106,1382
196107,1335
196108,1312
196109,1429
196110,1415
196111,1385
196112,1365
196201,1361
196202,1278
196203,1443
196204,1524
196205,1483
196206,1404
196207,1450
196208,1517
196209,1324
196210,1533
196211,1622
196212,1564
196301,1244
196302,1456
196303,1534
196304,1689
196305,1641
196306,1588
196307,1614
196308,1639
196309,1763
196310,1779
196311,1622
196312,1491
196401,1603
196402,1820
196403,1517
196404,1448
196405,1467
196406,1550
196407,1562
196408,1569
196409,1455
196410,1524
196411,1486
196412,1484
196501,1361
196502,1433
196503,1423
196504,1438
196505,1478
196506,1488
196507,1529
196508,1432
196509,1482
196510,1452
196511,1460
196512,1656
196601,1370
196602,1378
196603,1394
196604,1352
196605,1265
196606,1194
196607,1086
196608,1119
196609,1046
196610,843
196611,961
196612,990
196701,1067
196702,1123
196703,1056
196704,1091
196705,1304
196706,1248
196707,1364
196708,1407
196709,1421
196710,1491
196711,1538
196712,1308
196801,1380
196802,1520
196803,1466
196804,1554
196805,1408
196806,1405
196807,1512
196808,1495
196809,1556
196810,1569
196811,1630
196812,1548
196901,1769
196902,1705
196903,1561
196904,1524
196905,1583
196906,1528
196907,1368
196908,1358
196909,1507
196910,1381
196911,1229
196912,1327
197001,1085
197002,1305
197003,1319
197004,1264
197005,1290
197006,1385
197007,1517
197008,1399
197009,1534
197010,1580
197011,1647
197012,1893
197101,1828
197102,1741
197103,1910
197104,1986
197105,2049
197106,2026
197107,2083
197108,2158
197109,2041
197110,2128
197111,2182
197112,2295
197201,2494
197202,2390
197203,2334
197204,2249
197205,2221
197206,2254
197207,2252
197208,2382
197209,2481
197210,2485
197211,2421
197212,2366
197301,2481
197302,2289
197303,2365
197304,2084
197305,2266
197306,2067
197307,2123
197308,2051
197309,1874
197310,1677
197311,1724
197312,1526
197401,1451
197402,1752
197403,1555
197404,1607
197405,1426
197406,1513
197407,1316
197408,1142
197409,1150
197410,1070
197411,1026
197412,975
197501,1032
197502,904
197503,993
197504,1005
197505,1121
197506,1087
197507,1226
197508,1260
197509,1264
197510,1344
197511,1360
197512,1321
197601,1367
197602,1538
197603,1421
197604,1395
197605,1459
197606,1495
197607,1401
197608,1550
197609,1720
197610,1629
197611,1641
197612,1804
197701,1527
197702,1943
197703,2063
197704,1892
197705,1971
197706,1893
197707,2058
197708,2020
197709,1949
197710,2042
197711,2042
197712,2142
197801,1718
197802,1738
197803,2032
197804,2197
197805,2075
197806,2070
197807,2092
197808,1996
197809,1970
197810,1981
197811,2094
197812,2044
197901,1630
197902,1520
197903,1847
197904,1748
197905,1876
197906,1913
197907,1760
197908,1778
197909,1832
197910,1681
197911,1524
197912,1498
198001,1341
198002,1350
198003,1047
198004,1051
198005,927
198006,1196
198007,1269
198008,1436
198009,1471
198010,1523
198011,1510
198012,1482
198101,1547
198102,1246
198103,1306
198104,1360
198105,1140
198106,1045
198107,1041
198108,940
198109,911
198110,873
198111,837
198112,910
198201,843
198202,866
198203,931
198204,917
198205,1025
198206,902
198207,1166
198208,1046
198209,1144
198210,1173
198211,1372
198212,1303
198301,1586
198302,1699
198303,1606
198304,1472
198305,1776
198306,1733
198307,1785
198308,1910
198309,1710
198310,1715
198311,1785
198312,1688
198401,1897
198402,2260
198403,1663
198404,1851
198405,1774
198406,1843
198407,1732
198408,1586
198409,1698
198410,1590
198411,1689
198412,1612
198501,1711
198502,1632
198503,1800
198504,1821
198505,1680
198506,1676
198507,1684
198508,1743
198509,1676
198510,1834
198511,1698
198512,1942
198601,1972
198602,1848
198603,1876
198604,1933
198605,1854
198606,1847
198607,1782
198608,1807
198609,1687
198610,1681
198611,1623
198612,1833
198701,1774
198702,1784
198703,1726
198704,1614
198705,1628
198706,1594
198707,1575
198708,1605
198709,1695
198710,1515
198711,1656
198712,1400
198801,1271
198802,1473
198803,1532
198804,1573
198805,1421
198806,1478
198807,1467
198808,1493
198809,1492
198810,1522
198811,1569
198812,1563
198901,1621
198902,1425
198903,1422
198904,1339
198905,1331
198906,1397
198907,1427
198908,1332
198909,1279
198910,1410
198911,1351
198912,1251
199001,1551
199002,1437
199003,1289
199004,1248
199005,1212
199006,1177
199007,1171
199008,1115
199009,1110
199010,1014
199011,1145
199012,969
199101,798
199102,965
199103,921
199104,1001
199105,996
199106,1036
199107,1063
199108,1049
199109,1015
199110,1079
199111,1103
199112,1079
199201,1176
199202,1250
199203,1297
199204,1099
199205,1214
199206,1145
199207,1139
199208,1226
199209,1186
199210,1244
199211,1214
199212,1227
199301,1210
199302,1210
199303,1083
199304,1258
199305,1260
199306,1280
199307,1254
199308,1300
199309,1343
199310,1392
199311,1376
199312,1533
199401,1272
199402,1337
199403,1564
199404,1465
199405,1526
199406,1409
199407,1439
199408,1450
199409,1474
199410,1450
199411,1511
199412,1455
199501,1407
199502,1316
199503,1249
199504,1267
199505,1314
199506,1281
199507,1461
199508,1416
199509,1369
199510,1369
199511,1452
199512,1431
199601,1467
199602,1491
199603,1424
199604,1516
199605,1504
199606,1467
199607,1472
199608,1557
199609,1475
199610,1392
199611,1489
199612,1370
199701,1355
199702,1486
199703,1457
199704,1492
199705,1442
199706,1494
199707,1437
199708,1390
199709,1546
199710,1520
199711,1510
199712,1566
199801,1525
199802,1584
199803,1567
199804,1540
199805,1536
199806,1641
199807,1698
199808,1614
199809,1582
199810,1715
199811,1660
199812,1792
199901,1748
199902,1670
199903,1710
199904,1553
199905,1611
199906,1559
199907,1669
199908,1648
199909,1635
199910,1608
199911,1648
199912,1708
200001,1636
200002,1737
200003,1604
200004,1626
200005,1575
200006,1559
200007,1463
200008,1541
200009,1507
200010,1549
200011,1551
200012,1532
200101,1600
200102,1625
200103,1590
200104,1649
200105,1605
200106,1636
200107,1670
200108,1567
200109,1562
200110,1540
200111,1602
200112,1568
200201,1698
200202,1829
200203,1642
200204,1592
200205,1764
200206,1717
200207,1655
200208,1633
200209,1804
200210,1648
200211,1753
200212,1788
200301,1853
200302,1629
200303,1726
200304,1643
200305,1751
200306,1867
200307,1897
200308,1833
200309,1939
200310,1967
200311,2083
200312,2057
200401,1911
200402,1846
200403,1998
200404,2003
200405,1981
200406,1828
200407,2002
200408,2024
200409,1905
200410,2072
200411,1782
200412,2042
200501,2144
200502,2207
200503,1864
200504,2061
200505,2025
200506,2068
200507,2054
200508,2095
200509,2151
200510,2065
200511,2147
200512,1994
200601,2273
200602,2119
200603,1969
200604,1821
200605,1942
200606,1802
200607,1737
200608,1650
200609,1720
200610,1491
200611,1570
200612,1649
200701,1409
200702,1480
200703,1495
200704,1490
200705,1415
200706,1448
200707,1354
200708,1330
200709,1183
200710,1264
200711,1197
200712,1037
200801,1084
200802,1103
200803,1005
200804,1013
200805,973
200806,1046
200807,923
200808,844
200809,820
200810,777
200811,652
200812,560
200901,490
200902,582
200903,505
200904,478
200905,540
200906,585
200907,594
200908,586
200909,585
200910,534
200911,588
200912,581
201001,614
201002,604
201003,636
201004,687
201005,583
201006,536
201007,546
201008,599
201009,594
201010,543
201011,545
201012,539
201101,630
201102,517
201103,600
201104,554
201105,561
201106,608
201107,623
201108,585
201109,650
201110,610
201111,711
201112,694
201201,723
201202,704
201203,695
201204,753
201205,708
201206,757
201207,740
201208,754
201209,847
201210,915
201211,833
201212,976
201301,888
201302,962
201303,1010
201304,835
201305,930
201306,839
201307,880
201308,917
201309,850
201310,925
201311,1100
201312,1002
201401,888
201402,944
201403,970
201404,1043
201405,1007
201406,911
201407,1085
201408,984
201409,1023
201410,1074
201411,1001
201412,1073
201501,1085
201502,886
201503,960
201504,1190
201505,1079
201506,1205
201507,1146
201508,1130
201509,1224
201510,1058
201511,1172
201512,1146
201601,1092
201602,1225
201603,1111
201604,1163
201605,1148
201606,1203
201607,1239
201608,1171
201609,1068
