Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AMPG,Amplitech Group Inc. Common Stock,$2.32,0.02,0.87%,25732514.00,United States,,730825,Telecommunications,Telecommunications Equipment
AMPGW,Amplitech Group Inc. Warrants,$0.788,-0.0704,-8.201%,8740182.00,United States,,3608,Telecommunications,Telecommunications Equipment
ASNS,Actelis Networks Inc. Common Stock,$1.22,-0.03,-2.40%,10371008.00,United States,2022,130714,Telecommunications,Telecommunications Equipment
BWEN,Broadwind Inc. Common Stock,$1.76,-0.02,-1.124%,38920723.00,United States,,59451,Telecommunications,Metal Fabrications
CTBB,Qwest Corporation 6.5% Notes due 2056,$17.53,0.02,0.114%,18.00,United States,2016,34153,Telecommunications,Telecommunications Equipment
CTDD,Qwest Corporation 6.75% Notes due 2057,$17.56,-0.01,-0.057%,18.00,United States,2017,32686,Telecommunications,Telecommunications Equipment
DATS,DatChat Inc. Common Stock,$3.00,-0.09,-2.913%,9027987.00,United States,2021,568633,Telecommunications,Telecommunications Equipment
DATSW,DatChat Inc. Series A Warrant,$0.27,0.01,3.846%,812519.00,United States,2021,8259,Telecommunications,Telecommunications Equipment
FOXX,Foxx Development Holdings Inc. Common Stock,$4.41,-0.29,-6.17%,32107433.00,United States,,36788,Telecommunications,Computer Communications Equipment
FOXXW,Foxx Development Holdings Inc. Warrant,$0.136,-0.033,-19.527%,990161.00,United States,,57301,Telecommunications,Computer Communications Equipment
INTZ,Intrusion Inc. Common Stock,$1.82,-0.06,-3.191%,14661958.00,United States,,1432995,Telecommunications,Computer Communications Equipment
KORE,KORE Group Holdings Inc. Common Stock,$2.55,-0.01,-0.391%,43371308.00,United States,,17237,Telecommunications,Telecommunications Equipment
KSCP,Knightscope Inc. Class A Common Stock,$10.84,-0.14,-1.275%,41391998.00,United States,2022,277185,Telecommunications,Telecommunications Equipment
NXPL,NextPlat Corp Common Stock,$0.9927,-0.0223,-2.197%,25773521.00,United States,,25231,Telecommunications,Telecommunications Equipment
NXPLW,NextPlat Corp Warrants,$0.194,0.00,0.00%,5036832.00,United States,,54,Telecommunications,Telecommunications Equipment
SIDU,Sidus Space Inc. Class A Common Stock,$2.54,0.08,3.252%,10620614.00,United States,2021,957156,Telecommunications,Telecommunications Equipment
VISL,Vislink Technologies Inc. Common Stock,$2.50,0.00,0.00%,6161048.00,United States,2013,77289,Telecommunications,Telecommunications Equipment
