ym,pmi
196912,52.0
197001,48.7
197002,47.4
197003,46.9
197004,45.0
197005,47.2
197006,51.1
197007,49.5
197008,47.3
197009,44.1
197010,42.4
197011,39.7
197012,45.4
197101,47.9
197102,54.8
197103,51.2
197104,54.5
197105,54.2
197106,53.8
197107,54.4
197108,53.6
197109,55.1
197110,55.0
197111,52.3
197112,57.6
197201,59.6
197202,60.6
197203,59.8
197204,59.3
197205,61.4
197206,58.6
197207,60.1
197208,61.7
197209,65.1
197210,67.0
197211,69.9
197212,70.5
197301,72.1
197302,69.6
197303,69.6
197304,67.7
197305,64.8
197306,65.0
197307,57.8
197308,62.7
197309,63.5
197310,66.2
197311,68.1
197312,63.6
197401,62.1
197402,58.6
197403,61.8
197404,59.9
197405,55.7
197406,54.7
197407,54.8
197408,52.9
197409,46.2
197410,42.7
197411,37.9
197412,30.9
197501,30.7
197502,34.4
197503,31.6
197504,37.5
197505,41.2
197506,45.1
197507,47.2
197508,51.4
197509,54.4
197510,55.5
197511,54.5
197512,54.9
197601,58.8
197602,61.5
197603,58.4
197604,60.6
197605,58.8
197606,58.2
197607,55.9
197608,54.5
197609,53.6
197610,53.5
197611,51.7
197612,56.6
197701,54.8
197702,55.0
197703,58.4
197704,56.9
197705,59.7
197706,56.8
197707,57.7
197708,54.9
197709,53.9
197710,55.4
197711,56.1
197712,59.8
197801,57.4
197802,55.9
197803,55.0
197804,57.7
197805,60.2
197806,60.5
197807,62.2
197808,60.3
197809,60.5
197810,60.1
197811,61.3
197812,59.4
197901,58.5
197902,58.2
197903,57.7
197904,56.2
197905,54.4
197906,52.7
197907,51.3
197908,49.5
197909,49.6
197910,49.0
197911,48.0
197912,44.8
198001,46.2
198002,50.2
198003,43.6
198004,37.4
198005,29.4
198006,30.3
198007,35.0
198008,45.5
198009,50.1
198010,55.5
198011,58.2
198012,53.0
198101,49.2
198102,48.8
198103,49.6
198104,51.6
198105,53.5
198106,50.7
198107,46.7
198108,48.3
198109,42.5
198110,40.0
198111,36.1
198112,37.8
198201,38.2
198202,38.3
198203,36.8
198204,37.8
198205,35.5
198206,38.3
198207,38.4
198208,38.3
198209,38.8
198210,39.4
198211,39.2
198212,42.8
198301,46.0
198302,54.4
198303,53.9
198304,54.2
198305,56.1
198306,57.5
198307,63.6
198308,63.1
198309,62.5
198310,64.4
198311,66.0
198312,69.9
198401,60.5
198402,61.3
198403,58.9
198404,61.0
198405,58.6
198406,58.1
198407,56.1
198408,53.0
198409,50.0
198410,50.8
198411,50.3
198412,50.6
198501,50.3
198502,49.9
198503,47.8
198504,48.2
198505,47.1
198506,47.8
198507,47.9
198508,47.7
198509,49.9
198510,50.9
198511,52.0
198512,50.7
198601,51.2
198602,51.0
198603,51.0
198604,49.7
198605,53.4
198606,50.5
198607,48.0
198608,52.6
198609,52.4
198610,51.2
198611,51.2
198612,50.5
198701,54.9
198702,52.6
198703,55.0
198704,55.5
198705,57.2
198706,57.4
198707,57.5
198708,59.3
198709,60.0
198710,60.7
198711,58.8
198712,61.0
198801,57.5
198802,56.2
198803,54.6
198804,55.8
198805,55.5
198806,59.3
198807,58.2
198808,56.0
198809,54.5
198810,55.4
198811,55.6
198812,56.0
198901,54.7
198902,54.1
198903,51.5
198904,52.2
198905,49.3
198906,47.3
198907,45.9
198908,45.1
198909,46.0
198910,46.8
198911,46.8
198912,47.4
199001,47.2
199002,49.1
199003,49.9
199004,50.0
199005,49.5
199006,49.2
199007,46.6
199008,46.1
199009,44.5
199010,43.2
199011,41.3
199012,40.8
199101,39.2
199102,39.4
199103,40.7
199104,42.8
199105,44.5
199106,50.3
199107,50.6
199108,52.9
199109,54.9
199110,53.1
199111,49.5
199112,46.8
199201,47.3
199202,52.7
199203,54.6
199204,52.6
199205,55.7
199206,53.6
199207,53.9
199208,53.4
199209,49.7
199210,50.3
199211,53.6
199212,54.2
199301,55.8
199302,55.2
199303,53.5
199304,50.2
199305,51.2
199306,49.6
199307,50.2
199308,50.7
199309,50.8
199310,53.4
199311,53.8
199312,55.6
199401,56.0
199402,56.5
199403,56.9
199404,57.4
199405,58.2
199406,58.8
199407,58.5
199408,58.0
199409,59.0
199410,59.4
199411,59.2
199412,56.1
199501,57.4
199502,55.1
199503,52.1
199504,51.5
199505,46.7
199506,45.9
199507,50.7
199508,47.1
199509,48.1
199510,46.7
199511,45.9
199512,46.2
199601,45.5
199602,45.9
199603,46.9
199604,49.3
199605,49.1
199606,53.6
199607,49.7
199608,51.6
199609,51.1
199610,50.5
199611,53.0
199612,55.2
199701,53.8
199702,53.1
199703,53.8
199704,53.7
199705,56.1
199706,54.9
199707,57.7
199708,56.3
199709,53.9
199710,56.4
199711,55.7
199712,54.5
199801,53.8
199802,52.9
199803,52.9
199804,52.2
199805,50.9
199806,48.9
199807,49.2
199808,49.3
199809,48.7
199810,48.7
199811,48.2
199812,46.8
199901,50.6
199902,51.7
199903,52.4
199904,52.3
199905,54.3
199906,55.8
199907,53.6
199908,54.8
199909,57.0
199910,57.2
199911,58.1
199912,57.8
200001,56.7
200002,55.8
200003,54.9
200004,54.7
200005,53.2
200006,51.4
200007,52.5
200008,49.9
200009,49.7
200010,48.7
200011,48.5
200012,43.9
200101,42.3
200102,42.1
200103,43.1
200104,42.7
200105,41.3
200106,43.2
200107,43.5
200108,46.3
200109,46.2
200110,40.8
200111,44.1
200112,45.3
200201,47.5
200202,50.7
200203,52.4
200204,52.4
200205,53.1
200206,53.6
200207,50.2
200208,50.3
200209,50.5
200210,49.0
200211,48.5
200212,51.6
200301,51.3
200302,48.8
200303,46.3
200304,46.1
200305,49.0
200306,49.0
200307,51.0
200308,53.2
200309,52.4
200310,55.2
200311,58.4
