ym,unrate
194801,3.4
194802,3.8
194803,4.0
194804,3.9
194805,3.5
194806,3.6
194807,3.6
194808,3.9
194809,3.8
194810,3.7
194811,3.8
194812,4.0
194901,4.3
194902,4.7
194903,5.0
194904,5.3
194905,6.1
194906,6.2
194907,6.7
194908,6.8
194909,6.6
194910,7.9
194911,6.4
194912,6.6
195001,6.5
195002,6.4
195003,6.3
195004,5.8
195005,5.5
195006,5.4
195007,5.0
195008,4.5
195009,4.4
195010,4.2
195011,4.2
195012,4.3
195101,3.7
195102,3.4
195103,3.4
195104,3.1
195105,3.0
195106,3.2
195107,3.1
195108,3.1
195109,3.3
195110,3.5
195111,3.5
195112,3.1
195201,3.2
195202,3.1
195203,2.9
195204,2.9
195205,3.0
195206,3.0
195207,3.2
195208,3.4
195209,3.1
195210,3.0
195211,2.8
195212,2.7
195301,2.9
195302,2.6
195303,2.6
195304,2.7
195305,2.5
195306,2.5
195307,2.6
195308,2.7
195309,2.9
195310,3.1
195311,3.5
195312,4.5
195401,4.9
195402,5.2
195403,5.7
195404,5.9
195405,5.9
195406,5.6
195407,5.8
195408,6.0
195409,6.1
195410,5.7
195411,5.3
195412,5.0
195501,4.9
195502,4.7
195503,4.6
195504,4.7
195505,4.3
195506,4.2
195507,4.0
195508,4.2
195509,4.1
195510,4.3
195511,4.2
195512,4.2
195601,4.0
195602,3.9
195603,4.2
195604,4.0
195605,4.3
195606,4.3
195607,4.4
195608,4.1
195609,3.9
195610,3.9
195611,4.3
195612,4.2
195701,4.2
195702,3.9
195703,3.7
195704,3.9
195705,4.1
195706,4.3
195707,4.2
195708,4.1
195709,4.4
195710,4.5
195711,5.1
195712,5.2
195801,5.8
195802,6.4
195803,6.7
195804,7.4
195805,7.4
195806,7.3
195807,7.5
195808,7.4
195809,7.1
195810,6.7
195811,6.2
195812,6.2
195901,6.0
195902,5.9
195903,5.6
195904,5.2
195905,5.1
195906,5.0
195907,5.1
195908,5.2
195909,5.5
195910,5.7
195911,5.8
195912,5.3
196001,5.2
196002,4.8
196003,5.4
196004,5.2
196005,5.1
196006,5.4
196007,5.5
196008,5.6
196009,5.5
196010,6.1
196011,6.1
196012,6.6
196101,6.6
196102,6.9
196103,6.9
196104,7.0
196105,7.1
196106,6.9
196107,7.0
196108,6.6
196109,6.7
196110,6.5
196111,6.1
196112,6.0
196201,5.8
196202,5.5
196203,5.6
196204,5.6
196205,5.5
196206,5.5
196207,5.4
196208,5.7
196209,5.6
196210,5.4
196211,5.7
196212,5.5
196301,5.7
196302,5.9
196303,5.7
196304,5.7
196305,5.9
196306,5.6
196307,5.6
196308,5.4
196309,5.5
196310,5.5
196311,5.7
196312,5.5
196401,5.6
196402,5.4
196403,5.4
196404,5.3
196405,5.1
196406,5.2
196407,4.9
196408,5.0
196409,5.1
196410,5.1
196411,4.8
196412,5.0
196501,4.9
196502,5.1
196503,4.7
196504,4.8
196505,4.6
196506,4.6
196507,4.4
196508,4.4
196509,4.3
196510,4.2
196511,4.1
196512,4.0
196601,4.0
196602,3.8
196603,3.8
196604,3.8
196605,3.9
196606,3.8
196607,3.8
196608,3.8
196609,3.7
196610,3.7
196611,3.6
196612,3.8
196701,3.9
196702,3.8
196703,3.8
196704,3.8
196705,3.8
196706,3.9
196707,3.8
196708,3.8
196709,3.8
196710,4.0
196711,3.9
196712,3.8
196801,3.7
196802,3.8
196803,3.7
196804,3.5
196805,3.5
196806,3.7
196807,3.7
196808,3.5
196809,3.4
196810,3.4
196811,3.4
196812,3.4
196901,3.4
196902,3.4
196903,3.4
196904,3.4
196905,3.4
196906,3.5
196907,3.5
196908,3.5
196909,3.7
196910,3.7
196911,3.5
196912,3.5
197001,3.9
197002,4.2
197003,4.4
197004,4.6
197005,4.8
197006,4.9
197007,5.0
197008,5.1
197009,5.4
197010,5.5
197011,5.9
197012,6.1
197101,5.9
197102,5.9
197103,6.0
197104,5.9
197105,5.9
197106,5.9
197107,6.0
197108,6.1
197109,6.0
197110,5.8
197111,6.0
197112,6.0
197201,5.8
197202,5.7
197203,5.8
197204,5.7
197205,5.7
197206,5.7
197207,5.6
197208,5.6
197209,5.5
197210,5.6
197211,5.3
197212,5.2
197301,4.9
197302,5.0
197303,4.9
197304,5.0
197305,4.9
197306,4.9
197307,4.8
197308,4.8
197309,4.8
197310,4.6
197311,4.8
197312,4.9
197401,5.1
197402,5.2
197403,5.1
197404,5.1
197405,5.1
197406,5.4
197407,5.5
197408,5.5
197409,5.9
197410,6.0
197411,6.6
197412,7.2
197501,8.1
197502,8.1
197503,8.6
197504,8.8
197505,9.0
197506,8.8
197507,8.6
197508,8.4
197509,8.4
197510,8.4
197511,8.3
197512,8.2
197601,7.9
197602,7.7
197603,7.6
197604,7.7
197605,7.4
197606,7.6
197607,7.8
197608,7.8
197609,7.6
197610,7.7
197611,7.8
197612,7.8
197701,7.5
197702,7.6
197703,7.4
197704,7.2
197705,7.0
197706,7.2
197707,6.9
197708,7.0
197709,6.8
197710,6.8
197711,6.8
197712,6.4
197801,6.4
197802,6.3
197803,6.3
197804,6.1
197805,6.0
197806,5.9
197807,6.2
197808,5.9
197809,6.0
197810,5.8
197811,5.9
197812,6.0
197901,5.9
197902,5.9
197903,5.8
197904,5.8
197905,5.6
197906,5.7
197907,5.7
197908,6.0
197909,5.9
197910,6.0
197911,5.9
197912,6.0
198001,6.3
198002,6.3
198003,6.3
198004,6.9
198005,7.5
198006,7.6
198007,7.8
198008,7.7
198009,7.5
198010,7.5
198011,7.5
198012,7.2
198101,7.5
198102,7.4
198103,7.4
198104,7.2
198105,7.5
198106,7.5
198107,7.2
198108,7.4
198109,7.6
198110,7.9
198111,8.3
198112,8.5
198201,8.6
198202,8.9
198203,9.0
198204,9.3
198205,9.4
198206,9.6
198207,9.8
198208,9.8
198209,10.1
198210,10.4
198211,10.8
198212,10.8
198301,10.4
198302,10.4
198303,10.3
198304,10.2
198305,10.1
198306,10.1
198307,9.4
198308,9.5
198309,9.2
198310,8.8
198311,8.5
198312,8.3
198401,8.0
198402,7.8
198403,7.8
198404,7.7
198405,7.4
198406,7.2
198407,7.5
198408,7.5
198409,7.3
198410,7.4
198411,7.2
198412,7.3
198501,7.3
198502,7.2
198503,7.2
198504,7.3
198505,7.2
198506,7.4
198507,7.4
198508,7.1
198509,7.1
198510,7.1
198511,7.0
198512,7.0
198601,6.7
198602,7.2
198603,7.2
198604,7.1
198605,7.2
198606,7.2
198607,7.0
198608,6.9
198609,7.0
198610,7.0
198611,6.9
198612,6.6
198701,6.6
198702,6.6
198703,6.6
198704,6.3
198705,6.3
198706,6.2
198707,6.1
198708,6.0
198709,5.9
198710,6.0
198711,5.8
198712,5.7
198801,5.7
198802,5.7
198803,5.7
198804,5.4
198805,5.6
198806,5.4
198807,5.4
198808,5.6
198809,5.4
198810,5.4
198811,5.3
198812,5.3
198901,5.4
198902,5.2
198903,5.0
198904,5.2
198905,5.2
198906,5.3
198907,5.2
198908,5.2
198909,5.3
198910,5.3
198911,5.4
198912,5.4
199001,5.4
199002,5.3
199003,5.2
199004,5.4
199005,5.4
199006,5.2
199007,5.5
199008,5.7
199009,5.9
199010,5.9
199011,6.2
199012,6.3
199101,6.4
199102,6.6
199103,6.8
199104,6.7
199105,6.9
199106,6.9
199107,6.8
199108,6.9
199109,6.9
199110,7.0
199111,7.0
199112,7.3
199201,7.3
199202,7.4
199203,7.4
199204,7.4
199205,7.6
199206,7.8
199207,7.7
199208,7.6
199209,7.6
199210,7.3
199211,7.4
199212,7.4
199301,7.3
199302,7.1
199303,7.0
199304,7.1
199305,7.1
199306,7.0
199307,6.9
199308,6.8
199309,6.7
199310,6.8
199311,6.6
199312,6.5
199401,6.6
199402,6.6
199403,6.5
199404,6.4
199405,6.1
199406,6.1
199407,6.1
199408,6.0
199409,5.9
199410,5.8
199411,5.6
199412,5.5
199501,5.6
199502,5.4
199503,5.4
199504,5.8
199505,5.6
199506,5.6
199507,5.7
199508,5.7
199509,5.6
199510,5.5
199511,5.6
199512,5.6
199601,5.6
199602,5.5
199603,5.5
199604,5.6
199605,5.6
199606,5.3
199607,5.5
199608,5.1
199609,5.2
199610,5.2
199611,5.4
199612,5.4
199701,5.3
199702,5.2
199703,5.2
199704,5.1
199705,4.9
199706,5.0
199707,4.9
199708,4.8
199709,4.9
199710,4.7
199711,4.6
199712,4.7
199801,4.6
199802,4.6
199803,4.7
199804,4.3
199805,4.4
199806,4.5
199807,4.5
199808,4.5
199809,4.6
199810,4.5
199811,4.4
199812,4.4
199901,4.3
199902,4.4
199903,4.2
199904,4.3
199905,4.2
199906,4.3
199907,4.3
199908,4.2
199909,4.2
199910,4.1
199911,4.1
199912,4.0
200001,4.0
200002,4.1
200003,4.0
200004,3.8
200005,4.0
200006,4.0
200007,4.0
200008,4.1
200009,3.9
200010,3.9
200011,3.9
200012,3.9
200101,4.2
200102,4.2
200103,4.3
200104,4.4
200105,4.3
200106,4.5
200107,4.6
200108,4.9
200109,5.0
200110,5.3
200111,5.5
200112,5.7
200201,5.7
200202,5.7
200203,5.7
200204,5.9
200205,5.8
200206,5.8
200207,5.8
200208,5.7
200209,5.7
200210,5.7
200211,5.9
200212,6.0
200301,5.8
200302,5.9
200303,5.9
200304,6.0
200305,6.1
200306,6.3
200307,6.2
200308,6.1
200309,6.1
200310,6.0
200311,5.8
