date,s_lag,mkt_rf,s_mkt,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
197001,3.5196949451424544,-8.1,-28.50952905565388,-5.2172,-4.0023,-4.6822,-3.1366,-0.49849999999999994,-8.1478,-6.8393999999999995,-2.6779,-4.6998,-3.2395,-10.312199999999999,-7.4913,-8.7552,-4.4098,-3.8240000000000003,-8.2732,-11.947899999999999,-7.958399999999999,-7.138999999999999,-6.4901,-9.051499999999999,-7.578399999999999,-9.77,-9.6016,-4.866899999999999
197002,3.1850574280565107,5.14,16.371195180210464,1.5318999999999998,3.0164999999999997,3.675,2.6099,3.6821,3.7656,1.5221,2.6473,7.569500000000001,6.9062,2.6973,2.4995,5.644,4.9304,6.5815,3.0126999999999997,4.9084,5.6285,8.859300000000001,6.2862,2.944,5.3655,8.502600000000001,6.0811,7.5607999999999995
197003,2.4014622866625115,-1.06,-2.5455500238622624,-6.9972,-5.4492,-3.6626,0.2985000000000001,-1.8687,-6.732200000000001,-3.4524,-0.7403,-0.7162,0.3026000000000001,-4.1473,-2.1318,-1.0459999999999998,1.5301,0.7084,-4.8307,-0.33219999999999994,1.2633,-0.30099999999999993,1.6893000000000002,-3.0492,-0.16209999999999997,1.7328000000000001,0.4646,1.0206
197004,2.5891299418870135,-10.99,-28.45453806133828,-24.1734,-19.4231,-15.3771,-13.6027,-12.497,-23.237,-17.6412,-15.3094,-11.4185,-12.1576,-20.3262,-15.8279,-13.5001,-9.5311,-11.0444,-15.6578,-15.0823,-10.2532,-10.3377,-9.733,-11.0061,-8.6889,-9.1868,-7.6611,-8.5008
197005,2.363818076737393,-6.9,-16.310344729488012,-10.671999999999999,-10.5566,-9.4735,-8.1629,-11.059299999999999,-13.672799999999999,-9.1551,-11.276399999999999,-8.813699999999999,-8.9813,-11.9177,-12.0872,-13.1854,-7.3743,-8.548399999999999,-10.8682,-10.693399999999999,-8.2731,-7.3848,-8.1434,-8.8674,-5.747,-4.8108,-0.8504,-4.5208
197006,1.9636451689063394,-5.8,-11.389141979656769,-12.9486,-8.7584,-8.1793,-8.8364,-6.6329,-10.7539,-7.5729,-8.7966,-7.6606,-6.7464,-8.575,-5.6318,-6.144,-5.1665,-7.5747,-3.3108,-5.7022,-4.651,-3.842,-10.699,-7.054,-4.3026,-3.9178,-2.9467,-8.8152
197007,1.5334365160057437,6.92,10.611380690759747,4.1814,4.3237000000000005,5.2265999999999995,5.9754000000000005,3.2915,6.1629000000000005,7.550700000000001,5.173,10.597100000000001,6.699400000000001,7.4041,5.8154,8.231300000000001,5.1395,7.134499999999999,5.4977,8.8439,8.2261,8.700700000000001,10.9901,3.9784,7.7417,8.372,10.2189,5.6236999999999995
197008,1.5491210884495072,4.5,6.971044898022782,4.1861,6.2364999999999995,6.685099999999999,6.3613,5.9985,9.195,7.3647,6.8624,7.4688,3.9631999999999996,5.4803,7.5621,5.0167,6.019,6.513,4.0004,7.5203999999999995,3.3924000000000003,4.803,6.4199,3.5622999999999996,4.7748,3.8207999999999993,4.3823,5.7025999999999994
197009,1.1673939310360177,4.18,4.879706631730554,22.140900000000002,15.7344,15.1482,11.1435,11.047699999999999,17.3365,16.7333,11.801100000000002,6.4797,9.2208,14.3006,10.2,7.542800000000001,4.4824,6.1142,8.986999999999998,5.8514,4.1162,3.4627999999999997,7.311,6.5602,-0.1733,-0.8572,-0.28540000000000004,3.862
197010,1.0426640090317278,-2.27,-2.3668473005020223,-12.0394,-7.2767,-11.7093,-6.8446,-5.1115,-5.2204,-8.3594,-7.3077,-4.0318000000000005,-4.8039,-5.9259,-4.7364,-6.6002,-3.089,-5.2283,-3.403,-4.402200000000001,-3.6158,-3.8956,-6.8244,-0.5894,-1.5272,-3.8483,-0.4021,-4.2305
